單詞,TF,DF
台股,4326,1204
市場,4156,1703
億元,3967,1432
指數,3567,1085
台灣,3483,1210
產業,3361,1135
表示,3339,1881
公司,2839,1073
成長,2830,1095
今年,2799,1302
營收,2592,913
外資,2426,856
投資,2377,1036
電子,2065,1051
晶圓,1997,831
表現,1970,1086
去年,1869,899
產品,1849,829
持續,1820,1094
指出,1771,1191
預期,1766,1037
全球,1740,901
法人,1667,895
美國,1641,891
技術,1629,681
今日,1601,639
股價,1568,792
美元,1556,674
科技,1548,765
成交,1537,679
經濟,1501,708
今天,1480,832
蘋果,1456,610
中國,1431,664
國際,1383,829
影響,1367,843
企業,1342,526
目前,1322,882
未來,1304,759
上漲,1304,681
矽品,1303,296
大陸,1282,587
手機,1278,529
董事,1260,651
需求,1256,690
新高,1253,653
半年,1238,626
智慧,1213,508
晶片,1169,466
供應,1160,653
金融,1159,662
下跌,1144,565
金額,1138,525
奈米,1134,341
主要,1133,849
包括,1125,829
製程,1121,500
發展,1119,542
可望,1114,710
客戶,1104,562
股市,1097,626
漲幅,1090,574
業績,1078,551
不過,1071,832
盤中,1055,550
設備,1054,423
權證,1049,132
鴻海,1048,536
加上,1036,783
營運,1030,617
獲利,1010,570
預估,1000,595
帶動,954,701
類股,946,519
跌幅,943,509
合併,939,463
認為,911,646
相關,910,630
由於,905,687
個股,898,553
利率,897,509
產能,896,431
訂單,866,427
可能,863,551
政府,859,380
整體,853,591
美股,850,542
生產,843,413
每股,837,447
資金,834,475
出貨,833,419
增加,817,534
機會,815,563
收在,814,385
創新,809,401
維持,807,577
出現,800,550
應用,795,409
分析,786,553
公布,781,608
交易,778,469
工業,777,470
廠商,771,420
其中,766,611
設計,760,380
合作,754,365
代工,754,502
體產,750,423
開盤,744,380
大漲,744,412
集團,742,351
超過,742,526
以及,739,570
製造,725,385
國大,724,415
成為,720,512
部分,719,523
股今,718,483
國內,716,440
震盪,715,469
因此,710,542
基金,709,294
下半,703,419
方面,698,490
權值,691,479
相對,690,500
價格,688,363
走勢,686,463
競爭,683,409
年第,675,389
一度,674,457
最大,665,530
個月,662,429
族群,661,390
觀察,657,514
展望,654,478
經理,652,483
封測,652,262
開始,647,496
大廠,644,456
面板,643,326
三星,643,227
反彈,642,375
日本,640,314
研發,623,318
以上,622,484
上市,618,362
近期,617,472
年增,616,342
收盤,608,378
景氣,603,343
顯示,597,420
買超,586,295
業者,584,341
以來,583,420
收購,581,201
先進,579,336
季營,571,354
股東,569,277
聯電,569,267
來到,560,312
歷史,556,354
受惠,555,426
系統,554,306
毛利,554,316
可以,554,333
進行,543,408
總統,541,265
在台,539,400
財報,538,347
聯網,538,276
終場,538,385
積極,536,404
大盤,535,381
提升,533,408
有機,526,388
進入,524,396
處理,523,246
第一,522,361
目標,519,331
看好,513,377
對於,513,381
領域,512,299
賣超,512,214
汽車,511,325
政策,511,334
出口,511,153
明年,508,293
布局,504,330
是否,499,362
電池,497,159
減少,497,305
連續,496,354
服務,494,265
優於,492,344
最高,491,382
雖然,488,406
員工,486,172
提供,481,295
動能,481,375
沒有,476,333
行情,474,300
法說,474,305
亞科,473,105
短線,472,307
漲逾,464,231
台指,463,231
預計,460,337
資本,460,270
加權,458,413
早盤,457,316
同期,456,273
重要,455,357
多單,455,240
受到,455,394
同時,454,375
關鍵,451,330
研究,451,267
隨著,447,373
上半,445,288
水準,441,350
來看,441,348
純益,440,195
明顯,438,359
結合,437,197
併購,436,183
過去,432,328
其他,431,367
開發,430,274
計畫,430,255
衰退,430,244
比重,430,286
昨天,430,268
銷售,429,280
另外,428,380
平均,427,259
大關,426,310
擴大,423,328
龍頭,419,355
國家,417,254
世界,415,223
業的,414,301
因為,414,311
問題,414,232
指標,413,326
股票,412,217
認購,411,116
三大,410,302
年的,404,291
宣布,403,313
再度,403,315
年營,402,262
封裝,402,195
此外,401,362
記憶,400,203
壓力,400,293
股漲,399,201
管理,399,238
完成,399,289
一個,399,270
大幅,398,329
達電,397,257
現金,392,221
工廠,391,283
至於,390,330
時間,390,294
趨勢,388,282
光電,388,232
高點,385,299
生技,383,232
為主,382,308
測試,382,171
英國,380,218
電腦,379,252
整合,379,244
創下,379,301
相當,378,327
元大,378,270
銀行,377,172
投顧,377,256
呈現,377,298
盤面,374,271
年來,372,300
中心,372,233
證券,370,237
申請,370,122
幅度,370,262
除了,368,316
庫存,368,247
升息,368,230
連結,366,133
數據,366,254
調整,365,265
材料,365,176
關注,364,295
也是,364,301
透過,362,260
消費,362,235
市占,362,224
上周,361,216
分別,360,285
統計,358,302
同步,358,292
策略,357,260
高階,355,232
成本,354,210
希望,354,243
通過,353,237
是台,353,298
業界,352,222
下滑,349,258
推出,348,233
美光,347,81
數上,347,181
道瓊,346,286
基本,346,261
股權,345,186
月合,345,215
國泰,344,261
量產,343,190
挑戰,341,278
建議,341,253
因素,341,284
整理,340,244
已經,340,265
一步,340,302
推動,338,218
現貨,337,232
稅後,336,195
檢測,336,103
紀錄,335,234
取得,335,224
環境,334,207
球晶,333,79
後續,333,258
人才,333,140
衝擊,332,266
買盤,331,263
根據,331,299
昨日,331,231
留意,330,226
中華,330,228
年底,329,249
友達,329,264
報告,328,243
重挫,327,223
共同,327,234
量能,326,234
經營,326,183
季增,326,205
跌破,325,234
資料,324,252
執行,324,250
規模,323,240
面臨,322,276
對台,322,251
持股,321,188
強調,321,253
市值,321,161
股指,320,214
環球,319,68
年減,319,177
蘋概,318,221
突破,318,264
的產,317,250
激勵,316,254
亞股,316,224
舉行,315,286
事會,315,210
樂觀,314,260
概念,314,231
操作,314,233
強勁,313,264
平盤,313,232
報價,313,194
中小,313,192
富邦,312,249
行動,311,220
點或,309,96
強勢,309,239
賣壓,308,222
裝置,308,188
不會,308,232
萬元,306,169
業務,306,195
事業,306,180
本季,303,155
尤其,303,257
發表,301,196
亞洲,300,187
股也,299,232
全年,299,211
累計,298,236
就是,298,213
第二,297,209
關卡,295,243
利用,295,177
機器,294,105
大的,294,258
脫歐,293,153
的是,293,250
高達,292,242
可成,291,241
通訊,290,207
有利,290,241
油價,289,212
報導,288,194
走高,287,235
支出,286,179
投入,286,194
夏普,286,59
