,id,title,content_y,cluster
86,1451887753530_PTT02R,[閒聊] 2016/01/04 盤後閒聊,"台 股 8114.26 ▼223.80 (2.68%) 760.03億 台指期 8075 ▼200 (2.41%) 190,262口 台指期 自營商 +1475 投信 -392 外資 -2154 台指選 自營商 -15004 投信 +60 外資 -5741 強勢類股 好慘！！！有夠慘！！！ 弱勢類股 塑膠、玻璃、水泥、金融、光電、汽車、航運、紡織、電腦週邊 漲停家數(+10%) 9 跌停家數(-10%) 2 ---------------------------------------------------------------------- ────────────────板規宣導─────────────────── 1.新板規已於置底公告，2016/01/01起正式上路，請板友務必詳閱。 2.發文前請詳閱相關分類規範，違反者將受處份。 ─────────────────────────────────────── -- ",3
146,1451974155236_PTT02R,[閒聊] 2015/01/05 盤後閒聊,"台 股 8075.11 ▼39.15 (0.48%) 800.50億 台指期 8025 ▼48 (0.59%) 161,606口 台指期 自營商 -2216 投信 -423 外資 +4997 台指選 自營商 -249 投信 +36 外資 -4898 強勢類股 橡膠、食品、電腦週邊、化學 弱勢類股 玻璃、光電、營建、紡織、觀光、金融、半導體、油電燃氣、造紙 漲停家數(+10%) 5 跌停家數(-10%) 1 ---------------------------------------------------------------------- ────────────────板規宣導─────────────────── 1.新板規已於置底公告，2016/01/01起正式上路，請板友務必詳閱。 2.發文前請詳閱相關分類規範，違反者將受處份。 ─────────────────────────────────────── -- ",3
190,1452040460632_PTT02R,[閒聊] 2016/01/06 盤中閒聊,"=============104/12/30 台股資訊重點整理，供股民做投資參考============ 台 股 8075.11 ▼39.15 (0.48%) 800.50億 台指期 8025 ▼48 (0.59%) 161,606口 歐台指 8044 ▲19 (0.24%) 摩台指 294.1 ▼0.4 (0.14%) 集中 資減 4.22 億 券減 2,486 張 三大法人買賣超 -47.92 億 (連四賣) 八大公股 +25.37 億 (連二買) 借券賣出 +33.40 億 台指期未平倉口數 自營商 -3695 投信 -7996 外資 +22832 台指選 自營商 +9384 投信 +117 外資 +11736 --------------------------------------------------------------------- 道瓊工業 17158 ▲ 9 (0.06%) 英國 6137 ▲43 (0.72%) 納斯達克 4891 ▼11 (0.24%) 法國 4537 ▲15 (0.34%) 標普５00 2016 ▲ 4 (0.20%) 德國 10310 ▲26 (0.26%) 費半導體 649 ▼ 6 (1.04%) ────────────────板規宣導─────────────────── 1.新板規已於置底公告，2016/01/01起正式上路，請板友務必詳閱。 2.發文前請詳閱相關分類規範，違反者將受處份。 ─────────────────────────────────────── -- ",3
251,1452093984334_PTT02R,[其他] 1/6 台灣店頭市場三大法人買賣超前20名,◆買超　 代碼　股票名稱　　外　資　　投　信　　自營商　　合　計　 　　　　　　　　 買賣超　　買賣超　　買賣超　　買賣超　 3105　穩懋　　　　 -1629　　　6369　　　 861　　　5601　 8069　元太　　　　　 692　　　　 0　　　 309　　　1001　 6147　頎邦　　　　　 942　　　-176　　　 214　　　 980　 3324　雙鴻　　　　　 446　　　 560　　　 -81　　　 925　 8079　誠遠　　　　　　-3　　　　 0　　　 614　　　 611　 6462　神盾　　　　　 578　　　　 0　　　 -40　　　 539　 4947　F-昂寶　　　　 211　　　 298　　　　20　　　 529　 3293　鈊象　　　　　 447　　　 125　　　-100　　　 472　 5425　台半　　　　　 226　　　　96　　　　20　　　 342　 4130　健亞　　　　　 146　　　 100　　　　73　　　 319　 5483　中美晶　　　　 294　　　 116　　　-124　　　 286　 3141　晶宏　　　　　　 2　　　 237　　　　 6　　　 245　 5478　智冠　　　　　 295　　　　 0　　　 -90　　　 205　 3438　類比科　　　　 185　　　　 0　　　　 0　　　 185　 6290　良維　　　　　 167　　　　 0　　　　18　　　 185　 5245　智晶　　　　　　79　　　　 0　　　　95　　　 174　 4971　F-IET　　　　　 82　　　 150　　　 -61　　　 171　 1795　美時　　　　　 154　　　　 0　　　　-5　　　 149　 3587　閎康　　　　　 139　　　　 0　　　　10　　　 149　 8050　廣積　　　　　 -11　　　　 0　　　 157　　　 146　 　 ◆賣超　 代碼　股票名稱　　外　資　　投　信　　自營商　　合　計　 　　　　　　　　 買賣超　　買賣超　　買賣超　　買賣超　 6244　茂迪　　　　 -1163　　　 -35　　　-207　　 -1405　 3264　欣銓　　　　　　 2　　　-963　　　-433　　 -1394　 8936　國統　　　　　-139　　　-230　　　-373　　　-742　 5490　同亨　　　　　 206　　　-996　　　　69　　　-721　 6279　胡連　　　　　-162　　　-497　　　 -21　　　-680　 8383　千附　　　　　-217　　　-349　　　 -88　　　-654　 8086　宏捷科　　　　-244　　　 -84　　　-220　　　-548　 6274　台燿　　　　　-310　　　　 0　　　-183　　　-493　 5009　榮剛　　　　　-187　　　-200　　　 -97　　　-484　 6121　新普　　　　　-379　　　　 0　　　 -63　　　-442　 5351　鈺創　　　　　-301　　　　 0　　　-131　　　-432　 3265　台星科　　　　　67　　　-541　　　　56　　　-418　 3152　璟德　　　　　　25　　　-393　　　 -31　　　-399　 8916　光隆　　　　　-406　　　　 0　　　　 7　　　-399　 8299　群聯　　　　　-135　　　 -53　　　-173　　　-361　 5371　中光電　　　　-337　　　　 0　　　　 4　　　-333　 8255　朋程　　　　　　83　　　-325　　　 -64　　　-306　 8942　森鉅　　　　　-101　　　-164　　　 -28　　　-293　 8436　大江　　　　　-239　　　 172　　　-212　　　-279　 3428　光燿科　　　　-118　　　　 0　　　-147　　　-265 -- ,3
252,1452094635972_PTT02R,[其他] 1/6 台灣集中市場外資買賣超前30名,◆買超　 代碼　股票名稱　買超張數　持有張數　持股率%　 2618　長榮航　　　　6486　 1015975　　26.32　 2412　中華電　　　　4087　 1657379　　21.36　 1737　臺鹽　　　　　2611　　 26931　　13.46　 1704　榮化　　　　　2482　　170277　　19.96　 2474　可成　　　　　2471　　413307　　53.64　 2409　友達　　　　　2086　 3540094　　36.78　 1326　台化　　　　　1733　 2096388　　35.76　 2884　玉山金　　　　1617　 4740286　　59.61　 2347　聯強　　　　　1563　　606283　　38.16　 9904　寶成　　　　　1536　 1716617　　58.30　 2383　台光電　　　　1270　　117680　　37.08　 2498　宏達電　　　　1268　　229438　　27.71　 2356　英業達　　　　1058　 1063570　　29.64　 4904　遠傳　　　　　1004　 1027224　　31.52　 3231　緯創　　　　　 938　　737180　　28.84　 2377　微星　　　　　 935　　295823　　35.01　 2349　錸德　　　　　 880　　151250　　 5.78　 2352　佳世達　　　　 823　　195007　　 9.91　 3686　達能　　　　　 796　　　9504　　 2.71　 3017　奇鋐　　　　　 724　　116040　　32.84　 4919　新唐　　　　　 721　　 18001　　 8.67　 2408　南亞科　　　　 678　　173551　　 7.14　 6269　台郡　　　　　 641　　 57660　　20.74　 2464　盟立　　　　　 638　　 34705　　18.10　 2834　臺企銀　　　　 634　　992382　　17.45　 2201　裕隆　　　　　 630　　191311　　12.16　 2456　奇力新　　　　 602　　　7817　　 6.15　 6239　力成　　　　　 586　　524952　　67.37　 2847　大眾銀　　　　 582　　391352　　13.14　 3049　和鑫　　　　　 557　　 40082　　 5.43　 　 ◆賣超　 代碼　股票名稱　賣超張數　持有張數　持股率%　 2330　台積電　　　-16091　19979582　　77.05　 0050　台灣50　　　-12128　　 17403　　 1.31　 2888　新光金　　　 -8856　 2246543　　21.96　 2886　兆豐金　　　 -8827　 3771126　　27.72　 4938　和碩　　　　 -8398　 1320638　　50.73　 2890　永豐金　　　 -8338　 3237787　　31.81　 3474　華亞科　　　 -8109　 3232776　　49.29　 2317　鴻海　　　　 -7982　 7747691　　49.54　 2892　第一金　　　 -5831　 2357585　　20.57　 2325　矽品　　　　 -5724　 1655596　　53.12　 2002　中鋼　　　　 -5249　 2088622　　13.24　 2883　開發金　　　 -4938　 3580695　　23.61　 2324　仁寶　　　　 -4415　 2268302　　50.73　 2615　萬海　　　　 -4011　　888505　　40.05　 2881　富邦金　　　 -3876　 3083556　　30.13　 2382　廣達　　　　 -3718　 1335927　　34.58　 1216　統一　　　　 -3278　 2897841　　51.00　 2891　中信金　　　 -3237　 7066960　　39.01　 2610　華航　　　　 -3143　　858977　　15.70　 2448　晶電　　　　 -3111　　202723　　18.42　 2603　長榮　　　　 -3088　　994413　　28.31　 2344　華邦電　　　 -3075　　501793　　14.01　 2823　中壽　　　　 -2821　 1809273　　54.16　 2354　鴻準　　　　 -2537　　401284　　28.76　 3045　台灣大　　　 -2264　 1103087　　32.24　 2515　中工　　　　 -2062　　264107　　17.31　 2303　聯電　　　　 -2048　 5192903　　40.72　 2323　中環　　　　 -1980　　268623　　12.99　 2105　正新　　　　 -1979　　372961　　11.50　 3576　新日光　　　 -1818　　 54142　　 6.30 -- ,3
253,1452094636494_PTT02R,[其他] 1/6 台灣集中市場投信買賣超前30名,◆買超　 代碼　股票名稱　買超張數　 收盤價　　 漲跌　 00632RT50反1　　　　2004　　20.65　　 0.17　 2345　智邦　　　　　1987　　35.30　　 2.05　 3017　奇鋐　　　　　1977　　28.70　　 1.60　 2455　全新　　　　　1950　　48.85　　 0.85　 2485　兆赫　　　　　1873　　55.20　　 1.90　 2356　英業達　　　　1645　　21.05　　 0.00　 2610　華航　　　　　1300　　11.55　　 0.20　 2449　京元電　　　　 600　　21.80　　 0.15　 2456　奇力新　　　　 592　　70.30　　-1.50　 2448　晶電　　　　　 486　　25.40　　 0.00　 3596　智易　　　　　 465　　39.50　　-1.00　 2412　中華電　　　　 424　　98.70　　-0.10　 3514　昱晶　　　　　 362　　34.10　　 0.70　 3583　辛耘　　　　　 327　　75.10　　 1.40　 2393　億光　　　　　 315　　46.70　　 0.30　 2002　中鋼　　　　　 304　　17.30　　-0.05　 2397　友通　　　　　 294　　44.80　　-1.50　 1473　台南　　　　　 263　　32.50　　 2.10　 3474　華亞科　　　　 263　　28.10　　 0.05　 3665　F-貿聯　　　　 254　 148.50　　 2.50　 3533　嘉澤　　　　　 243　 118.50　　-4.00　 1338　F-廣華　　　　 206　 120.50　　 0.00　 1455　集盛　　　　　 200　　 7.99　　-0.09　 4968　立積　　　　　 191　　74.60　　-3.00　 2618　長榮航　　　　 160　　18.25　　 0.30　 6285　啟碁　　　　　 160　　83.20　　-1.70　 8016　矽創　　　　　 160　　85.50　　-1.90　 2228　劍麟　　　　　 135　 155.00　　 2.00　 5388　中磊　　　　　 124　　84.60　　-1.70　 1227　佳格　　　　　 115　　80.90　　-0.10　 　 ◆賣超　 代碼　股票名稱　賣超張數　 收盤價　　 漲跌　 2891　中信金　　　 -6066　　16.15　　-0.20　 1704　榮化　　　　 -3528　　30.00　　-1.35　 3231　緯創　　　　 -2354　　17.45　　-0.85　 2903　遠百　　　　 -2142　　16.70　　-0.60　 3673　F-TPK　　　　-1947　　67.90　　-7.10　 1326　台化　　　　 -1756　　68.60　　 0.10　 2377　微星　　　　 -1232　　43.75　　-2.75　 4938　和碩　　　　　-899　　67.90　　-4.10　 6239　力成　　　　　-874　　64.50　　-0.50　 2409　友達　　　　　-829　　 9.09　　-0.11　 2881　富邦金　　　　-792　　41.00　　-1.45　 1301　台塑　　　　　-785　　73.00　　 0.10　 2406　國碩　　　　　-746　　34.00　　-0.75　 3045　台灣大　　　　-680　　97.50　　-0.90　 2330　台積電　　　　-550　 135.50　　-2.50　 2454　聯發科　　　　-526　 227.00　 -15.50　 2634　漢翔　　　　　-522　　38.60　　-0.10　 2474　可成　　　　　-483　 251.00　 -14.00　 9907　統一實　　　　-470　　15.05　　-0.15　 3034　聯詠　　　　　-450　 123.00　　-2.50　 2354　鴻準　　　　　-340　　64.10　　-2.90　 2204　中華　　　　　-320　　21.15　　-0.55　 4904　遠傳　　　　　-319　　65.30　　-0.30　 2882　國泰金　　　　-319　　40.35　　-0.75　 2915　潤泰全　　　　-300　　60.20　　-0.30　 2603　長榮　　　　　-300　　12.60　　-0.20　 2303　聯電　　　　　-299　　11.75　　 0.00　 2464　盟立　　　　　-287　　32.90　　-1.35　 2520　冠德　　　　　-280　　15.05　　-0.25　 2201　裕隆　　　　　-273　　29.90　　 0.40 -- ,3
413,1452265943855_PTT02R,[其他] 1/8 台灣店頭市場三大法人買賣超前20名,◆買超　 代碼　股票名稱　　外　資　　投　信　　自營商　　合　計　 　　　　　　　　 買賣超　　買賣超　　買賣超　　買賣超　 5483　中美晶　　　　1012　　　 -10　　　 214　　　1216　 3324　雙鴻　　　　　 368　　　 384　　　 236　　　 988　 3293　鈊象　　　　　　64　　　 752　　　　69　　　 885　 8069　元太　　　　　 676　　　　 0　　　 178　　　 854　 6182　合晶　　　　　 683　　　　 0　　　 152　　　 835　 5478　智冠　　　　　 870　　　 -60　　　　12　　　 822　 6147　頎邦　　　　　1321　　　-524　　　 -65　　　 732　 3234　光環　　　　　 486　　　　21　　　　30　　　 537　 8383　千附　　　　　 450　　　　64　　　　21　　　 535　 4991　F-環宇　　　　 353　　　 102　　　　36　　　 491　 4979　華星光　　　　 334　　　　98　　　　43　　　 475　 3552　同致　　　　　 352　　　　 8　　　 114　　　 474　 5481　華韡　　　　　 463　　　　 0　　　　 0　　　 463　 5351　鈺創　　　　　 400　　　　 0　　　　-6　　　 394　 5371　中光電　　　　 412　　　　 0　　　 -22　　　 390　 4971　F-IET　　　　　338　　　　 0　　　　 2　　　 340　 4966　F-譜瑞　　　　 319　　　 -80　　　　93　　　 332　 3558　神準　　　　　 129　　　 198　　　　 0　　　 327　 5349　先豐　　　　　 183　　　 132　　　　10　　　 325　 4130　健亞　　　　　 239　　　　 0　　　　84　　　 323　 　 ◆賣超　 代碼　股票名稱　　外　資　　投　信　　自營商　　合　計　 　　　　　　　　 買賣超　　買賣超　　買賣超　　買賣超　 5347　世界　　　　　-948　　　　 0　　　　20　　　-928　 3265　台星科　　　　 -51　　　-849　　　　 2　　　-898　 6244　茂迪　　　　　-972　　　　90　　　　-8　　　-890　 8936　國統　　　　　 341　　　-773　　　-219　　　-651　 6121　新普　　　　　-437　　　　 0　　　　 0　　　-437　 3428　光燿科　　　　-389　　　　 0　　　　38　　　-351　 4174　浩鼎　　　　　-343　　　　 4　　　　 8　　　-331　 8076　伍豐　　　　　-448　　　　 0　　　 146　　　-302　 3105　穩懋　　　　 -1079　　　 587　　　 197　　　-295　 3658　漢微科　　　　-217　　　 -82　　　　35　　　-264　 3088　艾訊　　　　　-240　　　　 0　　　　 0　　　-240　 5457　宣德　　　　　　58　　　　 0　　　-225　　　-167　 3289　宜特　　　　　 -91　　　 -70　　　　12　　　-149　 6217　中探針　　　　 168　　　-301　　　 -15　　　-148　 4506　崇友　　　　　 -84　　　 -60　　　　 3　　　-141　 4105　東洋　　　　　-171　　　　 0　　　　37　　　-134　 6188　廣明　　　　　 -82　　　　 0　　　 -49　　　-131　 8299　群聯　　　　　 -55　　　-170　　　　96　　　-129　 6223　旺矽　　　　　　18　　　-150　　　　 4　　　-128　 1565　精華　　　　　-111　　　　-2　　　　-4　　　-117 -- ,3
414,1452266574520_PTT02R,[其他] 1/8 台灣集中市場外資買賣超前30名,◆買超　 代碼　股票名稱　買超張數　持有張數　持股率%　 2412　中華電　　　　8753　 1671930　　21.55　 2313　華通　　　　　6019　　341733　　28.67　 00633L上証2X　　　　5670　　 18421　　 2.62　 3514　昱晶　　　　　4192　　 91888　　20.44　 1310　台苯　　　　　3133　　 38197　　 7.23　 1737　臺鹽　　　　　2237　　 29656　　14.82　 4915　致伸　　　　　2213　　238906　　54.15　 3519　綠能　　　　　2144　　 24293　　 5.86　 2377　微星　　　　　2141　　300693　　35.59　 9910　豐泰　　　　　1971　　108485　　18.19　 8105　凌巨　　　　　1604　　 42410　　 9.60　 2439　美律　　　　　1541　　 37720　　20.38　 2448　晶電　　　　　1429　　207622　　18.86　 2393　億光　　　　　1367　　141965　　32.93　 2345　智邦　　　　　1337　　167498　　31.32　 2382　廣達　　　　　1294　 1335635　　34.57　 3596　智易　　　　　1248　　 20314　　10.73　 4904　遠傳　　　　　1063　 1029386　　31.59　 3686　達能　　　　　1020　　 12190　　 3.48　 2383　台光電　　　　 955　　119542　　37.67　 2449　京元電　　　　 941　　393605　　33.86　 1314　中石化　　　　 843　　238436　　10.27　 1217　愛之味　　　　 805　　 25415　　 5.21　 6285　啟碁　　　　　 791　　 60649　　18.08　 911612滬安　　　　　 750　　 19971　　14.30　 2357　華碩　　　　　 747　　445123　　59.92　 1319　東陽　　　　　 743　　119604　　20.22　 2492　華新科　　　　 674　　114940　　20.52　 2349　錸德　　　　　 659　　152173　　 5.82　 2464　盟立　　　　　 658　　 35356　　18.44　 　 ◆賣超　 代碼　股票名稱　賣超張數　持有張數　持股率%　 2888　新光金　　　-22076　 2199316　　21.50　 2303　聯電　　　　-19100　 5161497　　40.47　 0050　台灣50　　　-18510　　　　 0　　 0.00　 2891　中信金　　　-14390　 7038312　　38.85　 2887　台新金　　　-13233　 2369604　　24.72　 2409　友達　　　　-12377　 3516685　　36.53　 2884　玉山金　　　-12334　 4717388　　59.32　 2885　元大金　　　-12247　 3760072　　35.09　 2610　華航　　　　-11435　　845267　　15.45　 3474　華亞科　　　-10268　 3215163　　49.02　 2317　鴻海　　　　 -9046　 7734532　　49.45　 2883　開發金　　　 -8820　 3559251　　23.47　 2311　日月光　　　 -8739　 6219462　　78.79　 2892　第一金　　　 -8392　 2344324　　20.45　 2002　中鋼　　　　 -7930　 2073413　　13.14　 2881　富邦金　　　 -7656　 3064120　　29.94　 2618　長榮航　　　 -6759　 1014578　　26.29　 2325　矽品　　　　 -6648　 1635202　　52.47　 1216　統一　　　　 -5944　 2888401　　50.83　 2880　華南金　　　 -5339　 1604812　　16.19　 2886　兆豐金　　　 -5308　 3753951　　27.60　 2890　永豐金　　　 -5198　 3217833　　31.61　 3481　群創　　　　 -5125　 3877259　　38.95　 1101　台泥　　　　 -3938　　933188　　25.27　 2823　中壽　　　　 -3765　 1798775　　53.85　 1402　遠東新　　　 -3608　　956696　　17.87　 1303　南亞　　　　 -3484　 2239401　　28.23　 2615　萬海　　　　 -3477　　881996　　39.76　 5880　合庫金　　　 -3455　 1762153　　15.91　 1301　台塑　　　　 -3374　 2171191　　34.10 -- ,3
415,1452266575053_PTT02R,[其他] 1/8 台灣集中市場投信買賣超前30名,◆買超　 代碼　股票名稱　買超張數　 收盤價　　 漲跌　 2356　英業達　　　　2682　　20.90　　 0.05　 2455　全新　　　　　 987　　47.05　　 0.40　 6239　力成　　　　　 738　　65.20　　 0.90　 2325　矽品　　　　　 700　　51.40　　-0.80　 2379　瑞昱　　　　　 665　　77.60　　 3.60　 2002　中鋼　　　　　 572　　17.40　　-0.05　 8016　矽創　　　　　 483　　87.70　　 7.90　 3231　緯創　　　　　 400　　18.10　　 0.65　 2345　智邦　　　　　 381　　33.50　　 0.85　 6257　矽格　　　　　 350　　21.00　　 0.20　 6230　超眾　　　　　 331　 126.50　　 1.50　 00636 CFA50　　　　　300　　17.09　　 0.59　 2448　晶電　　　　　 295　　26.65　　 2.05　 4746　台耀　　　　　 270　　68.50　　 3.20　 2355　敬鵬　　　　　 244　　50.80　　 2.10　 2393　億光　　　　　 238　　48.00　　 2.90　 5269　祥碩　　　　　 210　 198.50　　14.50　 9910　豐泰　　　　　 205　 180.00　　13.50　 3665　F-貿聯　　　　 203　 150.00　　 5.50　 9933　中鼎　　　　　 166　　35.05　　-0.10　 6505　台塑化　　　　 161　　76.00　　-0.20　 6456　F-GIS　　　　　140　　96.00　　 3.60　 5288　F-豐祥　　　　 137　　92.00　　 6.70　 1737　臺鹽　　　　　 135　　35.75　　 1.95　 4958　F-臻鼎　　　　 125　　69.80　　 3.20　 1473　台南　　　　　 121　　34.95　　 3.15　 2397　友通　　　　　 110　　43.75　　 2.10　 3454　晶睿　　　　　 110　　75.40　　 1.80　 4904　遠傳　　　　　 100　　66.00　　 0.40　 4968　立積　　　　　　81　　76.30　　 2.80　 　 ◆賣超　 代碼　股票名稱　賣超張數　 收盤價　　 漲跌　 2458　義隆　　　　 -1716　　43.00　　-0.40　 2317　鴻海　　　　 -1259　　78.00　　-0.30　 2891　中信金　　　　-820　　16.00　　 0.10　 3698　隆達　　　　　-750　　15.20　　 0.25　 2884　玉山金　　　　-716　　18.40　　-0.20　 2311　日月光　　　　-677　　34.90　　-0.95　 2392　正崴　　　　　-600　　45.10　　 0.80　 4938　和碩　　　　　-540　　67.00　　 1.30　 1504　東元　　　　　-523　　24.55　　 0.05　 3023　信邦　　　　　-480　　59.00　　 0.60　 2823　中壽　　　　　-463　　24.20　　 0.00　 9914　美利達　　　　-451　 158.00　　-8.00　 2449　京元電　　　　-450　　21.05　　-0.15　 3035　智原　　　　　-442　　42.95　　 1.05　 4935　F-茂林　　　　-441　　65.40　　 4.60　 2406　國碩　　　　　-392　　33.45　　 1.65　 1909　榮成　　　　　-344　　10.30　　 0.15　 3017　奇鋐　　　　　-308　　27.70　　 0.35　 006205FB上証　　　　-300　　29.32　　 1.24　 2454　聯發科　　　　-266　 213.50　　 7.50　 2308　台達電　　　　-265　 146.00　　-2.00　 3376　新日興　　　　-255　 120.00　　 0.00　 2882　國泰金　　　　-246　　39.95　　 0.30　 1312　國喬　　　　　-245　　14.50　　 0.20　 2474　可成　　　　　-234　 220.50　　-5.50　 1702　南僑　　　　　-229　　59.80　　-1.20　 3596　智易　　　　　-225　　39.65　　 0.85　 4733　上緯　　　　　-200　 149.50　　10.50　 1310　台苯　　　　　-200　　17.30　　 0.95　 1539　巨庭　　　　　-200　　25.55　　 1.55 -- ,3
416,1452267215005_PTT02R,[其他] 1/8 台灣集中市場自營商買賣超前30名,◆買超　 代碼　股票名稱　　買　超　　買　進　　賣　出　 買　進　 賣　出　 　　　　　　　　 張　數　　張　數　　張　數　 均　價　 均　價　 00632RT50反1　　　 40656　　 54179　　 13523　　20.96　　21.04　 00637L滬深2X　　　 15517　　 76474　　 60957　　11.10　　10.97　 2448　晶電　　　　　4279　　　4728　　　 449　　26.01　　25.53　 00648RS&P反1　　　　3319　　　7965　　　4646　　21.13　　21.15　 00641R日本反　　　　3168　　　6577　　　3409　　20.17　　20.12　 2885　元大金　　　　2719　　　2721　　　　 2　　11.17　　11.24　 2313　華通　　　　　2632　　　2901　　　 269　　19.90　　19.72　 3474　華亞科　　　　1837　　　1915　　　　78　　28.13　　28.13　 2618　長榮航　　　　1691　　　2203　　　 512　　18.72　　18.61　 00638R滬深反　　　　1472　　　3635　　　2163　　20.66　　20.63　 2882　國泰金　　　　1462　　　1502　　　　40　　40.35　　39.99　 2887　台新金　　　　1272　　　1290　　　　18　　10.81　　10.85　 2891　中信金　　　　1168　　　1269　　　 101　　15.96　　15.84　 2325　矽品　　　　　 829　　　 905　　　　76　　51.71　　51.67　 00635U元黃金　　　　 732　　　 812　　　　80　　18.44　　18.46　 2474　可成　　　　　 711　　　1027　　　 316　 222.90　 222.57　 2317　鴻海　　　　　 677　　　 917　　　 240　　77.89　　77.82　 00636 CFA50　　　　　664　　　2543　　　1879　　16.79　　16.77　 2888　新光金　　　　 637　　　 837　　　 200　　 6.51　　 6.52　 2883　開發金　　　　 624　　　1137　　　 513　　 7.86　　 7.66　 2454　聯發科　　　　 609　　　 882　　　 273　 211.50　 210.18　 4938　和碩　　　　　 561　　　 697　　　 136　　65.73　　66.22　 2356　英業達　　　　 553　　　 939　　　 386　　21.05　　21.17　 3231　緯創　　　　　 535　　　 714　　　 179　　18.12　　17.92　 2610　華航　　　　　 533　　　 968　　　 435　　11.57　　11.61　 00643 深中小　　　　 523　　　2522　　　1999　　16.66　　16.60　 2881　富邦金　　　　 487　　　1094　　　 607　　39.80　　39.88　 3673　F-TPK　　　　　483　　　 862　　　 379　　69.00　　68.89　 00639 深100　　　　　445　　　2801　　　2356　　10.48　　10.40　 006207FH滬深　　　　 442　　　2265　　　1823　　21.61　　21.53　 　 　 ◆賣超　 代碼　股票名稱　　賣　超　　買　進　　賣　出　 買　進　 賣　出　 　　　　　　　　 張　數　　張　數　　張　數　 均　價　 均　價　 0056　高股息　　　 -4751　　　 100　　　4851　　20.83　　20.94　 3049　和鑫　　　　 -3566　　　 416　　　3982　　 9.49　　 9.41　 00640L日本2X　　　 -3560　　　4664　　　8224　　18.66　　18.63　 00631LT50正2　　　 -2696　　 11252　　 13948　　16.07　　16.06　 0061　寶滬深　　　 -2445　　　2112　　　4557　　16.63　　16.50　 00647LS&P正2　　　 -2425　　　5466　　　7891　　18.31　　18.33　 00642U元石油　　　 -2359　　　 595　　　2954　　15.89　　15.88　 00633L上証2X　　　 -1505　　 48914　　 50419　　29.99　　29.71　 00646 S&P500　　　 -1244　　　1192　　　2436　　19.31　　19.32　 00634R上証反　　　　-947　　 10449　　 11396　　11.10　　11.15　 3514　昱晶　　　　　-652　　　 497　　　1149　　32.25　　31.94　 6282　康舒　　　　　-513　　　 387　　　 900　　23.65　　23.66　 2615　萬海　　　　　-433　　　 281　　　 714　　16.79　　16.77　 4414　如興　　　　　-420　　　　 0　　　 420　　 0.00　　18.12　 00645 FB日本　　　　-361　　　3075　　　3436　　18.71　　18.72　 2449　京元電　　　　-330　　　 266　　　 596　　20.92　　20.88　 2406　國碩　　　　　-325　　　 175　　　 500　　32.91　　32.50　 2609　陽明　　　　　-316　　　 233　　　 549　　 8.05　　 8.02　 2548　華固　　　　　-313　　　　 1　　　 314　　55.00　　55.07　 1305　華夏　　　　　-312　　　　 5　　　 317　　13.40　　13.42　 2345　智邦　　　　　-296　　　1763　　　2059　　32.78　　32.78　 1737　臺鹽　　　　　-279　　　　10　　　 289　　35.75　　35.28　 6230　超眾　　　　　-278　　　　57　　　 335　 121.92　 120.45　 0053　寶電子　　　　-267　　　　39　　　 306　　24.20　　24.44　 2485　兆赫　　　　　-256　　　 709　　　 965　　56.01　　55.11　 3041　揚智　　　　　-202　　　　 3　　　 205　　18.50　　18.54　 2330　台積電　　　　-198　　　2052　　　2250　 133.31　 133.60　 1464　得力　　　　　-185　　　　21　　　 206　　32.35　　32.45　 1216　統一　　　　　-153　　　　34　　　 187　　53.24　　53.12　 1227　佳格　　　　　-151　　　　33　　　 184　　77.36　　77.58 -- ,3
