,id,title,content,cluster
93,1451890773809_PTT02R,[其他] 105年01月04日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月04日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 12.77 8.37 +4.40 自營商(避險) 42.49 78.25 -35.75 投 信 13.64 16.52 -2.88 外資及陸資 138.98 278.35 -139.37 =========================================================== 合 計 207.89 381.49 -173.60 法人成交比重38.77% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
151,1451977999667_PTT02R,[其他] 105年01月05日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月05日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 11.08 8.87 +2.22 自營商(避險) 53.44 60.66 -7.21 投 信 19.24 19.95 -0.71 外資及陸資 206.09 248.31 -42.22 =========================================================== 合 計 289.86 337.78 -47.92 法人成交比重39.20% -- 持股滿檔待上漲 vs. 持股續抱待解套 ?注文????？ -- ,5
219,1452064224537_PTT02R,[其他] 105年01月06日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月06日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 14.48 10.27 +4.20 自營商(避險) 50.56 62.35 -11.80 投 信 12.07 22.63 -10.56 外資及陸資 241.23 290.07 -48.84 =========================================================== 合 計 318.33 385.32 -66.99 法人成交比重35.73% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
302,1452150109965_PTT02R,[其他] 105年01月07日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月07日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 16.55 15.92 +0.63 自營商(避險) 71.53 83.97 -12.43 投 信 10.05 16.10 -6.04 外資及陸資 268.79 388.09 -119.30 =========================================================== 合 計 366.93 504.7 -137.14 法人成交比重37.29% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
386,1452237201773_PTT02R,[其他] 105年01月08日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月08日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 11.34 11.70 -0.36 自營商(避險) 79.33 57.35 +21.98 投 信 8.37 12.32 -3.96 外資及陸資 274.91 324.27 -49.36 =========================================================== 合 計 373.95 405.65 -31.70 法人成交比重42.67% -- 持股滿檔待上漲 vs. 持股續抱待解套 ?注文????？ -- ,5
510,1452496331932_PTT02R,[其他] 105年01月11日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月11日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 10.49 10.19 +0.31 自營商(避險) 40.23 67.24 -27.01 投 信 14.98 13.51 +1.46 外資及陸資 226.17 324.56 -98.39 =========================================================== 合 計 291.87 415.50 -123.63 法人成交比重41.69% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
581,1452583281170_PTT02R,[其他] 105年01月12日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月12日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 10.27 15.81 -5.55 自營商(避險) 48.80 64.05 -15.25 投 信 17.78 10.08 +7.70 外資及陸資 226.31 257.87 -31.57 =========================================================== 合 計 303.15 347.82 -44.67 法人成交比重37.81% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
630,1452669119279_PTT02R,[其他] 105年01月13日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月13日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 6.55 11.79 -5.25 自營商(避險) 45.93 53.39 -7.47 投 信 7.54 7.54 -0.006 外資及陸資 250.23 237.96 +12.27 =========================================================== 合 計 310.24 310.69 -0.45 法人成交比重41.80% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
680,1452754627806_PTT02R,[其他] 105年01月14日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月14日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 10.81 11.76 -0.94 自營商(避險) 44.63 58.03 -13.40 投 信 8.47 10.49 -2.02 外資及陸資 220.28 257.70 -37.42 =========================================================== 合 計 284.20 337.98 -53.78 法人成交比重38.23% -- 一頁書：世事如棋，乾坤莫測，笑盡英雄啊～～～ 一夜輸：股市如棋，漲跌莫測，坑盡散戶啊～～～ -- ,5
741,1452841698510_PTT02R,[其他] 105年01月15日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月15日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 12.37 13.98 -1.61 自營商(避險) 39.92 63.44 -23.52 投 信 13.32 12.42 +0.91 外資及陸資 258.78 331.19 -72.41 =========================================================== 合 計 324.39 421.03 -96.64 法人成交比重41.42% -- 一頁書：世事如棋，乾坤莫測，笑盡英雄啊～～～ 一夜輸：股市如棋，漲跌莫測，坑盡散戶啊～～～ -- ,5
850,1453100999253_PTT02R,[其他] 105年01月18日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月18日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 14.76 11.08 +3.67 自營商(避險) 59.84 44.43 +15.41 投 信 14.40 16.89 -2.48 外資及陸資 217.45 245.68 -28.23 =========================================================== 合 計 306.45 318.08 -16.64 法人成交比重38.38.57% -- 四大基金：勞保、勞退、退撫、郵儲 四大雞精：白蘭氏、統一、桂格、華陀 -- ,5
893,1453187329025_PTT02R,[其他] 105年01月19日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月19日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 15.86 8.07 +7.79 自營商(避險) 61.55 52.36 +9.19 投 信 14.23 14.63 -0.40 外資及陸資 150.72 202.55 -51.83 =========================================================== 合 計 242.36 277.62 -35.25 法人成交比重35.40% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
