,id,title,content,cluster
61,1451826849372_PTT02R,[標的] 3234光環（多）,------------------------------------------------------------------------- 1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。 2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份 3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1 4.請依格式輸入內容，未依格式者板規4-1砍文處份。 5.分類選填請益或心得者，進退場機制得刪去。 ---------------------按ctrl+y可刪除以上內容。---------------------------- 1. 標的：3234光環（多） 2. 分類：多/空/請益/心得 3. 分析/正文： 這支股今年的漲幅好幾百%，近期從12月營收大幅成長公布後隨即打入冷宮，投信翻臉狂 倒、猛丟、超機賣，覺得股價已經見到波段低。 基本面： 2015光通訊族群的崛起，你以為2016就結束了嗎？今年會飆風再起。尤其第四季目前10、 11月營收跟第三季差不多了，營收絕對超過第三季，第三季毛利營益率都大增，單季貢獻 三元以上，第四季我認為EPS有四元，全年8-9元 技術面： 現在大家都認為漲完了，跌破季線，季線下彎、頭肩頂等等，但一隻一整年漲這麼多的股 票碟一下騙你一下線你就看衰囉？跌下來是給你上車的！ 籌碼面： 三大法人持有30%，年底外資休兵、投信逢年底結帳，明天起外資睡飽了，投信開始要做 帳，當然是找績優股來下手囉！ 4. 進退場機制：(停損價位/出場條件/長期投資) 預計85進場，同亨我先回補一半，預計買進10張多單，預計波段加碼至30張 停損：80 停利：先到三位數再看狀況 這次還是要大獲全勝了！（蠻有把握的） -- ,6
224,1452071078110_PTT02R,[標的] 1455集盛,------------------------------------------------------------------------- 1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。 2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份 3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1 4.請依格式輸入內容，未依格式者板規4-1砍文處份。 5.分類選填請益或心得者，進退場機制得刪去。 ---------------------按ctrl+y可刪除以上內容。---------------------------- 1. 標的： 1455集盛 2. 分類：多/空/請益/心得 多部份: 1. 12.31-0106 投信近五日買超1100張 自營商 加碼中 唯外資持續倒貨 2.越南景氣加溫 加工絲(複合絲部分) 為儒鴻供應商 3.CPL目前打底1200多 有反彈趨勢 半年來高點1800 3. 分析/正文： 集盛從高點15.2直接下降到8元 外資減碼6萬張 看好2016奧運題材 且股價偏低及CPL報價打底 尼龍跟加工絲 會比2015年來的好 4. 進退場機制：(停損價位/出場條件/長期投資) 過年前破7元停損出場 沒破年後目標價13 2013年也曾經買進50張集盛 成本9元 2015年13.4出場 目前8元多回補50張 集盛量沒掉/每日成交量最少都有千張 -- ,6
269,1452123262469_PTT02R,[標的] 兆赫2485（空）雪恥篇,"------------------------------------------------------------------------- 1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。 2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份 3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1 4.請依格式輸入內容，未依格式者板規4-1砍文處份。 5.分類選填請益或心得者，進退場機制得刪去。 ---------------------按ctrl+y可刪除以上內容。---------------------------- 1. 標的：2485兆赫（空） 2. 分類：多/空/請益/心得 3. 分析/正文： 這隻是我一生的痛，一世英明毀於兆赫，也真讓我走好了（不過也少被嘎8元，啾咪） 今天要展開報復了！原因是： 1.這波看起來似乎是主升段，還延升好幾小浪，13浪差不多了，準備迎接第四波-殺破季 線騙線波！ 2.投信持股高水位了，萬般拉抬只為出，就像同亨7月那樣投信23%持股賣到剩個位數，慘 ！又急又猛又爽快，如自由落體般爽歪歪、老二癢癢的feel! 3.以月k來看w底突破頸線，滿足點附近了，角度那麼抖休息一下嘛～ 4.幹，害我畢業，怎能不由恨生更賭爛的恨呢？還我一世英明！ 4. 進退場機制：(停損價位/出場條件/長期投資) 進場：把握今天多頭無力之時（這很憑感覺）抓57 退場：殺爆季線投信沒貨出散戶被洗掉時回補改作多，一魚雙吃！ 現在空肉真的多多又美味，我30在那空，頭殼空空，but now,I'm awake! Full of energ y! 大獲～～～全～～～～勝勝勝勝勝（迴音） -- ",6
332,1452170017404_PTT02R,[標的] 3234光環,------------------------------------------------------------------------- 1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。 2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份 3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1 4.請依格式輸入內容，未依格式者板規4-1砍文處份。 5.分類選填請益或心得者，進退場機制得刪去。 ---------------------按ctrl+y可刪除以上內容。---------------------------- 1. 標的：光環 2. 分類：多 3. 分析/正文： 消息面：12月營收創新高 基本面：價格在近期相對低點有機會反彈 籌碼面：昨日法人轉賣為買 今日雖跌不少但反彈力道強底部有支撐 4. 進退場機制：(停損價位/出場條件/長期投資) 85以下停損 93出場 徵求ptt法人一起抬轎～ -- ,6
370,1452216078299_PTT02R,[標的] 鼎元,------------------------------------------------------------------------- 1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。 2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份 3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1 4.請依格式輸入內容，未依格式者板規4-1砍文處份。 5.分類選填請益或心得者，進退場機制得刪去。 ---------------------按ctrl+y可刪除以上內容。---------------------------- 1. 標的：F-貿聯、鼎元 2. 分類：多 3. 分析/正文： 技術線及籌碼面良好 目前瘋狂搶購 4. 進退場機制： 140.5、13.9 -- ,6
384,1452235314105_PTT02R,[標的] 5490（同亨）多,"------------------------------------------------------------------------- 1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。 2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份 3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1 4.請依格式輸入內容，未依格式者板規4-1砍文處份。 5.分類選填請益或心得者，進退場機制得刪去。 ---------------------按ctrl+y可刪除以上內容。---------------------------- 1. 標的：5490同亨 2. 分類：多/空/請益/心得 多 3. 分析/正文： 繼上次86一路空到前天發文回補，主要原因是低檔留十字，且未破10/19低點，先獲利了結。看多原因： 基本面： apple NFC行動支付概念股，蘋果農曆年前在中國佈局，今年Q1營收應該不比去年差，可佈局 籌碼面： 外資持股無太大異動，投信已賣光了，有可能歸隊佈局，大戶籌碼來到低水位，散戶經過這波急殺暫時不太會考慮，永遠要等發動時覺得籌碼穩法人連續買才追價。 技術面：看似做頭又可能打W底,今日繼昨天低檔十字後未破昨低且吞噬昨天買賣量大的上影線，星期一若開盤強勢且配合量價，有反轉訊號成立的feel。 消息面：12營收大幅衰退、蘋果消風，認為12月反應過股價，放利空後股價止穩，有機會利空出盡。 今天開盤抄底十張（昨天閒聊有提到）也說今日大盤必漲 進場：67*10（星期一確定反轉機會高再加10張） 退場：跌破十字線低點64.7 Ps： 光環我一樣續抱，87跌破先出，雖然小套，但還未出現敗相 兆赫沒去空，投信持續大買，等高檔敗相出現，投信開始賣股價卻一直沒跌時佈局空單，現在還在養，等套殺時已肉不多。 感謝大家最近的認同，有好標的我都會上來和大家分享，先去上通告了～掰 -- ",6
385,1452236574710_PTT02R,[標的] 大盤多！阿伯不服來辯,------------------------------------------------------------------------- 1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。 2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份 3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1 4.請依格式輸入內容，未依格式者板規4-1砍文處份。 5.分類選填請益或心得者，進退場機制得刪去。 ---------------------按ctrl+y可刪除以上內容。---------------------------- 1. 標的：大盤 2. 分類：多/空/請益/心得 多 3. 分析/正文： 這週一到四大盤k線有如阿伯滴尿，自由落體，但在DJ的信心喊話後散戶還是不敢進多單，融資減少，但八大官股已經連買兩天了，代表作多決心。 個人認為，選前一週散戶會持續拋出股票，因為國際市場近期都在恐慌、利空消息不斷，台灣適逢選舉，美國隊長變浩克股市就會崩盤的耳語層出不窮，紛紛賣股換現金，以為可以撿到便宜，不料選前籌碼已經落入特定人手上，選後大家開始要撿便宜的時候，發現股價噴出大盤噴出，心裡想著：再等他崩再接，但每天看著他漲心癢癢，等到利多出來砸身家、貸款賣房、直逼萬點、小英好棒棒！然後當了最後一棒而不自知～～～ 你們說，你有沒有這樣過？ 進場：7900 退場：大家在賣房賣車賣屁股買股票的時候，請觀察您周邊好朋友～ 一波上去財富自由 大獲全勝！ -- ,6
388,1452238440618_PTT02R,[公告] shoes922 板主砍文達四篇 水桶一個月+退文,"主旨：shoes922 遭板主砍文達四篇，水桶一個月+退文。 類型：股板簡字號20160108-1 說明：經板主檢視板面， 查shoes922遭板主砍文達四篇， 依板規4-0給予水桶一個月+退文。 1-1-6.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1。 4-0. 4-1至4-10規範之處份為初犯之裁量標準，當板主主觀判定為鬧板、 惡劣行逕或一年內多次違反板規板主得直接砍文、退文並加重處份。 違規紀錄： 11/23 Sirius1812 □ [公告] shoes922 板主砍文兩篇 警告一次 12/02 Sirius1812 □ [公告] shoes922 板主砍文達三篇 水桶一週 本次事證： 作者 shoes922 (REMIX) 看板 Stock 標題 [標的] 大盤多！阿伯不服來辯 時間 Fri Jan 8 15:01:02 2016 ─────────────────────────────────────── ------------------------------------------------------------------------- 1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。 2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份 3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1 4.請依格式輸入內容，未依格式者板規4-1砍文處份。 5.分類選填請益或心得者，進退場機制得刪去。 ---------------------按ctrl+y可刪除以上內容。---------------------------- 1. 標的：大盤 2. 分類：多/空/請益/心得 多 3. 分析/正文： 這週一到四大盤k線有如老人滴尿，自由落體，但在DJ的信心喊話後散戶還是不敢進多單 ，? 個人認為，選前一週散戶會持續拋出股票，因為國際市場近期都在恐慌、利空消息不斷， 台 你們說，你有沒有這樣過？ 進場：7900 退場：大家在賣房賣車賣屁股買股票的時候，請觀察您周邊好朋友～ 先看8100 一波上去財富自由 大獲全勝！ -- 建民怎麼了呢！說話啊你～說話你～ 好的 作者 shoes922 (REMIX) 看板 Stock 標題 [標的] 5490（同亨）多 時間 Fri Jan 8 14:31:20 2016 ─────────────────────────────────────── ------------------------------------------------------------------------- 1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。 2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份 3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1 4.請依格式輸入內容，未依格式者板規4-1砍文處份。 5.分類選填請益或心得者，進退場機制得刪去。 ---------------------按ctrl+y可刪除以上內容。---------------------------- 1. 標的：5490同亨 2. 分類：多/空/請益/心得 多 3. 分析/正文： 繼上次86一路空到前天發文回補，主要原因是低檔留十字，且未破10/19低點，先獲利了 結? 基本面： apple NFC行動支付概念股，蘋果農曆年前在中國佈局，今年Q1營收應該不比去年差，可 佈? 籌碼面： 外資持股無太大異動，投信已賣光了，有可能歸隊佈局，大戶籌碼來到低水位，散戶經過 這 技術面：看似做頭又可能打W底,今日繼昨天低檔十字後未破昨低且吞噬昨天買賣量大的上 影 消息面：12營收大幅衰退、蘋果消風，認為12月反應過股價，放利空後股價止穩，有機會 利 今天開盤抄底十張（昨天閒聊有提到）也說今日大盤必漲 進場：67*10（星期一確定反轉機會高再加10張） 退場：跌破十字線低點64.7 Ps： 光環我一樣續抱，87跌破先出，雖然小套，但還未出現敗相 兆赫沒去空，投信持續大買，等高檔敗相出現，投信開始賣股價卻一直沒跌時佈局空單， 現 感謝大家最近的認同，有好標的我都會上來和大家分享，先去上通告了～掰 -- 93.. 不敢當... 你可以上娛樂百分百 最近癩瞎摸功夫協會邀請我的 我深綠，支那蛆不是我 -- ",6
525,1452506298993_PTT02R,[標的] 研華 2395,------------------------------------------------------------------------- 1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。 2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份 3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1 4.請依格式輸入內容，未依格式者板規4-1砍文處份。 5.分類選填請益或心得者，進退場機制得刪去。 ---------------------按ctrl+y可刪除以上內容。---------------------------- 1. 標的：研華 2395 2. 分類：多 3. 分析/正文：研華具工業4.0、物聯網之熱門題材股。去年總營收創歷史新高至380億， 較前年成長6.35%，去年遭驊漢同業競爭與大環境不景氣使得成長稍緩，但營收依舊穩健 。高層喊出2020年營收衝至24億美金，後市然可期待。 4. 進退場機制：(停損價位/出場條件/長期投資) 進場價格：203元，做中長線投資獲利超過10%則獲利了結，若跌破8/24最低價196元則考 慮做攤平或停損的操作。 -- ,6
547,1452523218750_PTT02R,[標的] 2377 微星(空),"------------------------------------------------------------------------- 1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。 2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份 3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-1 4.請依格式輸入內容，未依格式者板規4-1砍文處份。 5.分類選填請益或心得者，進退場機制得刪去。 ---------------------按ctrl+y可刪除以上內容。---------------------------- 1. 標的：2377 微星 殞落的星星 2. 分類：空 3. 分析/正文： ※※沒有要你馬上放空,短線已跌深,注意進場點,可能會有小反彈 這支前一波強勢股從去年11/13漲到12/23開始往下跌 雖然外資一直買超,但都是消極低接,只能減緩跌勢 　　 　 統一,富邦,凱基似乎基於某種理由每天狂賣股票(近5個交易日賣了7000張) 可怕的是他們手上至少還有3萬多張持股 加上這檔之前漲起來的時候吸納了各方籌碼,目前籌碼已經十分凌亂 營收雖然有成長,但是還不到令人驚豔的地步 4. 進退場機制： 近期可能會有小反彈,大概在43.1~43.75附近進場放空(1/6大黑棒低點) 33.4停利 停損大概在45或者是投信轉賣為買為止 -- ",6
