,id,title,content,cluster
14,1451698717272_F01,想請問使用現金加油的加油卡(非信用卡),因為各大加油站網站上都沒寫~~~<BR>不知道有大大有推薦哪幾家有可申辦使用現金加油的優惠加油卡呢?@@(非信用卡)<BR>像是全國~西歐~北基~中油直營~台塑~台亞...等等等等等的<BR>謝謝,8
23,1451752621934_F01,100 萬現金支出怎麼得到優惠?,"小弟因為要買車，故將有大筆現金支出，約100萬.<BR>想問看看有沒有其他方式讓花出去的錢收一點點利益回來.<BR>例如用某銀行的飛行卡得到哩程數然後換機票，<BR>刷卡付要多2%,故花102萬取得大於2萬的回饋，，<BR>請大大建議",8
74,1452005543928_F01,信用卡期限當天才去繳,想請問我的信用卡費用(花旗) 到了期限當天才去繳(超商)<BR>聽說超商繳會比較慢入帳 這樣會變成逾繳嗎?,8
103,1452097324077_F01,想辦信用卡~~,最近想辦信用卡給我家阿母用<BR>因為他每次都帶很多現金讓我心驚驚的<BR>他平常愛坐公車去家樂福採購<BR>所以想辦玉山悠遊聯名卡給他<BR>小女子有薪轉 但沒存款Q_Q<BR>一個月大約是26k~28k<BR>有勞健保<BR>年資大概半年<BR>不知道好過不好過,8
199,1452437540521_F01,[心得] 台新昇恆昌無限卡 核卡,"[職業類別] 上海外商科技業<BR>[工作年資]: 3年多<BR>[年齡]: 34<BR>[年收入]: 約2100K<BR>[申請卡別]: 台新昇恆昌無限卡<BR>[提供財力證明]: HR給的薪資證明+名片<BR>[是否貸款]: 房貸餘額6900K<BR>[核卡額度]: 還沒收到卡,不知<BR>[三個月內有無辦卡]: 無<BR>話說小弟本人和老婆都在上海工作,之前刷卡主力一直是澳盛飛行御璽卡,不過近來福利大砍. 原本看重的貴賓室無限使用也砍到剩下3次.<BR>研究了一下,本想辦花旗長榮無限卡. 但是專員表示國外薪資不認列,唯一辦卡方式就是放3500K在他們家3個月,還不保證過件... 想想要從陸金所+銀行解約擠出3500K般回台灣實在是...<BR>於是改看其他銀行的信用卡,發現台新似乎國外薪資可以認列!<BR>而且昇恆昌無限卡福利非常適合常出國的人:<BR>龍騰,PP無限制使用<BR>海外刷卡回饋2%(小弟正附卡每月平均刷卡約5~7萬,每月光是VISA海外手續費1.5%就多了快1K...). <BR>環宇機場通關禮遇6次尊榮,6次商務<BR>機場接送,前6次免費,後6次380<BR>5,000萬旅遊平安險及其他保障<BR>其他的高鐵升等,機場免費停車和昇恆昌專屬禮賓服務對我來說有點雞肋(我喜歡買了就走,如果有個禮賓一直跟在旁邊感覺怪怪的)<BR>其實還有一點是台新""年費無法抵減""非常對我胃口. 因為小弟深信羊毛出在羊身上,如果台新敢收1年25K年費,那就代表肯定有牛肉可以吃!<BR>於是:<BR>12/28在台新網頁留言要辦卡<BR>12/29收到專員回覆需要資料.<BR>12/30寄出資料<BR>1/5收到核准電郵<BR>1/8專員表示已寄出,約1/12會收到<BR><BR>跟老婆說要辦這張卡,還被念了好一下,為何年費這麼貴,你用的到嗎...叭拉叭啦~ 還好好說歹說終於得到首肯在申請書附卡人上面簽字<BR>收到&開卡&使用過環宇通關後再來分享額度和心得! 還有,ANZ慢走不送~~",8
230,1452569940869_F01,2016-01月 五家信用卡辦卡首刷禮/滿額禮 優惠 整理,"▋【台新銀行】玫瑰/太陽(悠遊)卡<BR>▋新戶網路辦卡 核卡30天內不限金額任刷5筆 享好禮4選1<BR>▋活動期間：105年1月1日至105年3月31日<BR>▋首 刷 禮：刷卡金500元 / 歌林3合1行動電源 / 21吋ABS登機箱 / 諾帝亞1.5L隔熱不銹鋼美食鍋<BR>▋辦卡連結： http://ppt.cc/Jw9bd<BR> <BR> <BR>▋【花旗銀行】<BR>▋新戶網路辦卡 核卡後30天內一般刷卡消費及分期交易 累積滿NT$5,999(含)以上享好禮三選一1<BR>▋活動期間：105年1月1日至105年3月31日<BR>▋首 刷 禮：500元7-11禮券 / 24吋星光銀亮面旅行箱 / 台灣三洋 乾式擦地清潔機<BR>▋辦卡連結： http://ppt.cc/dc9j7<BR> <BR> <BR>▌【富邦銀行】世界卡、無限卡、商務卡、財神(悠遊)卡、富邦數位生活系列卡、富邦富利生活系列卡<BR>▋新戶網路辦卡 核卡後30天內新增一般消費滿3,000元或任刷5筆不限金額，享好禮4選1<BR>▋活動期間：104年10月1日至105年1月31日<BR>▋首 刷 禮：A.Oster隨行杯咖啡機/Fujitek富士電通彈力美肌儀/Fujitek富士電通手持無線吸塵器/晶亮航空行李子母箱<BR>▋辦卡連結：https://www.fubon.com/bank/creditcard/apply/index.htm?ch=bank4<BR> <BR> <BR>▌【匯豐銀行】中華航空無限卡<BR>▋新戶網路辦卡 核卡30天內正卡消費達NT$10000(含)以上，且繳交年 費享好禮3選1<BR>▋活動期間：105年1月1日至105年3月31日<BR>▋首 刷 禮：台北/高雄至香港商務艙來回機票1張 / 台北/台南/高雄 至香港經濟艙來回機票2張 / 華航哩程20000哩<BR>▋辦卡連結： http://ppt.cc/MX7be<BR> <BR> <BR>▌【匯豐銀行】中華航空御璽卡<BR>▋新戶網路辦卡 核卡30天內正卡消費達NT$3000(含)以上，且繳交年 費享好禮2選1<BR>▋活動期間：105年1月1日至105年3月31日<BR>▋首 刷 禮：24+20吋經典黑行李箱 / 華航哩程4000哩<BR>▋辦卡連結：http://ppt.cc/MX7be<BR> <BR>▌【匯豐銀行】中華航空白金卡<BR>▋新戶網路辦卡 核卡30天內正卡消費達NT$3000(含)以上，即可獲得 首刷好禮4選1<BR>▋活動期間：105年1月1日至105年3月31日<BR>▋首 刷 禮：KUMAMON 24吋行李箱 / KUMAMON 兩用吸塵器 / KUMAMON 2L電火鍋 / 華航哩程2500哩<BR>▋辦卡連結：http://ppt.cc/MX7be<BR><BR><BR>▋【匯豐銀行】現金回饋白金卡 / 紅利好點御璽卡<BR>▋新戶網路辦卡 核卡30天內正卡消費達NT$3000(含)以上，即可獲得 首刷好禮4選1<BR>▋活動期間：105年1月1日至105年3月31日<BR>▋首 刷 禮：KUMAMON 24吋行李箱 / KUMAMON 兩用吸塵器 / KUMAMON 2L電火鍋 / NT$800刷卡金<BR>▋辦卡連結：http://ppt.cc/MX7be<BR> <BR>▋【中國信託】酷玩卡<BR>▋新戶透過中信官網/APP辦卡，核卡後30天內累積刷滿888元(含)以上，登錄享好禮三選一<BR>▋活動期間：105年1月1日至105年3月31日<BR>▋首 刷 禮：LOMO Konstruktor 馬來貘相機/免費6個月 kkbox使用序號/紅利點數8000點<BR>▋辦卡連結：https://www.ctbcbank.com/html/201603/creditcard/CNB2015120906/index.html<BR> <BR>▌【中國信託】中油聯名卡<BR>▋新戶透過中信官網網路辦卡，核卡後60天內中油加油享每公升回饋10元刷卡金<BR>▋活動期間：105年1月1日至105年6月30日<BR>▋新 戶 禮：中油加油享每公升回饋10元刷卡金/幾米(向左走。向右走)面紙盒<BR>▋辦卡連結：https://www.ctbcbank.com/html/201603/creditcard/CNB2015120906/index.html",8
279,1452721168099_F01,慶云解約方法,在昨天被朋友帶去，因為相信朋友就直接簽約了，只不過之後看了看文章，覺得自己不適合這塊<BR>然而總共繳交了身分證影本，郵局存摺叫我用拍的給他(應該也是拍了之後他們在影印下來)，信用卡影本(是朋友的信用卡，朋友借我那筆錢)<BR>爬過解約的文章，是直接打電話到他們總公司要求解約就好，還是要去郵局買證件信函寄過去，或是有其他方法，只希望趕快在14天內弄好，不希望我朋友或者我花到任一筆錢<BR>另外想請問簽約那些本子需要當面去要求他們銷毀嗎，還是就上述的方法處理完就完畢了,8
286,1452749076474_F01,誇張的國泰世華信用卡申請心得,小弟是剛出社會的新鮮人<BR>有了穩定的正職工作後<BR>想說可以申請信用卡試試看<BR>擺脫以前用visa金融卡的生活<BR>由於還蠻常去costco的<BR>因此看上了國泰世華的costco聯名卡<BR>想說要扣信用卡費<BR>加上家人用國泰世華、行內轉就不用手續費<BR>就想說先去國泰世華分行開個戶<BR>104-12-10 早上8點半<BR>前往國泰世華分行開戶<BR>約莫等了10分鐘 不算久<BR>到了服務台 告訴行員我要開戶<BR>行員沒有正眼看我<BR>自顧自地做著自己的事<BR>隨口問道 「開戶作什麼用的?」<BR>我回答：就活期存款這樣<BR>接著行員看起來還是不太有空搭理我的樣子<BR>行員又問到 「為甚麼會選擇我們家的銀行」<BR>我聽到其實有點傻眼<BR>哪一家銀行會這樣問客戶阿.....?<BR>我就回答：方便家人理財<BR>當時其實奇檬子沒有很好<BR>不過還趕著回去上班<BR>想說趕快辦一辦就好<BR>接著就是填資料 約莫10分鐘<BR>行員就問說 ：有沒有考慮辦我們家的信用卡呢<BR>我說：有考慮costco的卡，想說到賣場去再辦(其實心裡是想不爽給你做業績)<BR>--(態度轉變的開始)--<BR>行員態度突然變得很親切<BR>從後面拿出costco卡的申請書跟推銷紙卡<BR>開始跟我講這張卡多好用多好用<BR>最後說出了重點「其實要辦卡也不一定要到賣場喔~我們這裡也可以辦」<BR>我覺得一定是我人太好了<BR>想說分行辦一辦也省事<BR>就把申請書填一填了<BR>填完之後<BR>行員又用一臉抱歉的語氣說<BR>「能不能再多幫我辦一張亞洲萬里通卡~~~我現在缺業績」<BR>當下其實我也不太會拒絕 很容易被說服那種<BR>就說好吧隨意<BR>不要收年費的卡就好<BR>年收入填400K<BR>職稱是行政助理<BR>行員說 最少帳戶裡面要存5萬唷<BR>加上原開戶存了1萬 我又領了5萬存進去<BR>總計存了6萬<BR>104-12-14 <BR>網站顯示申請收件<BR>104-12-15<BR>接到照會電話<BR>問一問一些個人資料確認之後<BR>最讓我氣結的事情來了<BR>「先生 那麻煩請您補件畢業證書喔」<BR>「先生 那麻煩請您補件畢業證書喔」<BR>「先生 那麻煩請您補件畢業證書喔」<BR><BR>荒謬之餘<BR>我又再次打電話進客服<BR>詢問客服人員這是怎麼一回事<BR>第一次聽說申請信用卡要「畢業證書」<BR>因為畢業證書在老家<BR>問說能不能用其他的東西代替<BR>在職證明書、或是其他的證明文件等等<BR>得到的答案都是「沒辦法！」<BR>甚至建議我可以像畢業學校申請補發<BR>我說 依據我畢業學校的規定<BR>補發畢業證書需要「登報遺失」<BR>客服人員還告訴我<BR>「呃 我不曉得補發畢業證書有什麼困難的」<BR>真是荒謬<BR>我為了辦一張信用卡<BR>要登報遺失畢業證書 再補發一張畢業證書<BR>當下我就表示「我不要辦了」<BR>請把我的申請書等資料返還給我<BR><BR>104-12-16<BR>我一早就到國泰世華的分行<BR>告知我要結清我的帳戶<BR>行員看我不悅詢問了原因<BR>也找原辦卡的行員幫我去電信用卡部詢問<BR>是不是有其他的方案<BR>最後得到的結果也是「一定要畢業證書」<BR>很好<BR>我走到隔壁的中信<BR>填了填資料 申請了一張要年費的信用卡<BR>打電話照會 通知補財力證明<BR>那時候我剛好出國<BR>回國之後補了大概30萬元的財證 很快就過了<BR>105-01-12<BR>把國泰世華申請「返還信用卡申請書面資料」的申請書寄出去<BR>我在申請書上稍微抱怨了一下<BR>我覺得貴行非常誇張<BR>最好是每個人出來工作都會把畢業證書帶在身上<BR>我申請中信卡都下來了<BR>要不是costco跟國泰世華綁聯名卡<BR>我才沒有這個意願跟貴行往來<BR>中信服務人員服務態度實在是好到沒話說<BR>但國泰世華卻是從分行到客服都讓我受一肚子氣<BR>105-01-13 下午<BR>接到國泰世華來電<BR>中年男子的聲音<BR>態度相當客氣<BR>聽起來像是信用卡授信部門的主管<BR>大意是跟我說<BR>照會人員不知道變通<BR>他們可以接受其他的證明方式<BR>也說他們有注意到中信已經核卡給我了<BR>問我是否有意願繼續申辦他們的信用卡<BR>我婉拒了<BR>我說我暫時沒有打算再跟貴行有任何往來了<BR>請把我的申請資料返還給我<BR>對方也客氣的說請我留意資料會寄還給我<BR>小白難辦卡、欺負剛出社會的新鮮人也都算了<BR>就銀行服務、ATM據點、信用卡部門跟客服來說<BR>中信都比國泰世華都好上一萬倍<BR>提醒各位想要辦信用卡的朋友<BR>小心國泰世華 省的受氣<BR>而國泰世華 就直接列入拒絕往來的黑名單了<BR>看來我是沒有這個榮幸跟貴行往來了,8
379,1453097801695_F01,2016繳費代扣信用卡推薦,我想問各位大人<BR>如果我想代扣水費 、電費、網路費、遠傳電話費、第四台費用<BR>有人知道哪間的信用有現金回饋比較優惠的嗎?<BR>[圖勒],8
383,1453108839226_F01,請問關於OK忠訓國際,是這樣的 小弟由於打算三月上北部工作 急需一筆資金<BR>要買一台2手7人座(載工人) 以及 前期負擔第一個月 工人房租 以及自己的房租生活費<BR>所以需要一筆現金<BR><BR>小弟工作大概3-4年了(這份工作) 可是在傳統飯店工作 <BR>每個月只有領現金 沒有所謂的薪轉/勞健保/每年當然也不會有扣繳憑單<BR>我只有一張信用卡 使用大概3-4年 還款良好 目前沒有欠款 全部繳清<BR>但是名下無任何財產/也沒有任何負債<BR><BR>到哪家銀行申請個人信貸 業務都跟我說 沒辦法<BR><BR>然後 實在是不想放棄這個機會<BR>也不想再跟朋友借錢 朋友以前在我有難時候都有借我錢<BR>這次不想再為難朋友 想要靠自己承擔接下來就算失敗 自己去面對<BR>(而且這次不是幾萬塊的事情 我也好怕友情生變)<BR>後來找到忠訓國際幫忙<BR>他要我的雙證件拍照正反面 以及 近半年的銀行存摺 / 跟最新一期 信用卡帳單<BR><BR>講實話我上網打忠訓國際的評價 大部分都是他們自己的業配文<BR>所以想上來請問 不知道哪位大大知道的 關於忠訓國際 他們幫我們申請 <BR>是單純雙方互惠 他們賺取傭金? 還是有什麼我不知道的代價需要付出的嗎<BR>我覺得我辦不出來 他們幫我辦成功的話 那我必須付錢 那沒關係 我心甘情願<BR>就是怕有什麼我不知道代價 事後才會知道的<BR>有人能跟我說說嗎<BR>是比如 我如果靠自己跟銀行借30萬<BR>利率可能是6%<BR>如果是透過忠訓<BR>可能利率是7%<BR>這多出來的1%是他們的傭金<BR><BR>是類似的概念嗎?<BR><BR>謝謝看完的大大....<BR><BR>PS:不要戰我為什麼要借錢阿.....感恩...<BR>,8
