,id,title,content,cluster
91002,101516,營收：毅嘉(2402)6月營收5億7313萬元，月增率-10.02%，年增率-9.39%,毅嘉科技(2402)自結107年6月營收5億7313萬2000元，和上個月的6億3700萬4000元相較，減少金額為6387萬2000元，較上月減少10.02%，和106年同月的6億3249萬4000元相較，減少金額為5936萬2000元，較106年同月減少9.39%。<BR> 累計107年1-6月營收33億8312萬9000元，和106年同期的32億2546萬9000元相較，增加金額為1億5766萬元，較106年同期增加4.89%。,6
91917,102482,營收：金麗科(3228)6月營收3217萬元，月增率26.76%，年增率51.02%,金麗科(3228)自結107年6月營收3217萬8000元，和上個月的2538萬3000元相較，增加金額為679萬5000元，較上月增加26.76%，和106年同月的2130萬7000元相較，增加金額為1087萬1000元，較106年同月增加51.02%。<BR> 累計107年1-6月營收2億0636萬4000元，和106年同期的1億2246萬元相較，增加金額為8390萬4000元，較106年同期增加68.52%。,6
91951,102516,金麗科 107年6月營收3217萬、年增51.02%,"金麗科(3228)6月營收資料(單位千元) 當月本年累計營收32,178206,364去年同期21,307122,460增減10,87183,904增減百分比51.02%68.52% 備註:係107年6月包括依合約完成度認列之設計收入。",6
91997,102562,和勤 107年6月營收2.46億、年增86.88%,"和勤(1586)6月營收資料(單位千元) 當月本年累計營收246,4551,248,168去年同期131,878997,277增減114,577250,891增減百分比86.88%25.16% 備註:汽車精沖零件接單暢旺，以及硬碟機構件出貨優於預期表現下，6月份營收刷新單月歷史新高紀錄",6
91999,102564,營收：和勤(1586)6月營收2億4645萬元，月增率17.51%，年增率86.88%,和勤精機(1586)自結107年6月營收2億4645萬5000元，和上個月的2億971萬5000元相較，增加金額為3674萬元，較上月增加17.51%，和106年同月的1億3187萬8000元相較，增加金額為1億1457萬7000元，較106年同月增加86.88%。<BR> 累計107年1-6月營收12億4816萬8000元，和106年同期的9億9727萬7000元相較，增加金額為2億5089萬1000元，較106年同期增加25.16%。,6
92119,102686,營收：中天(4128)6月營收1億959萬元，月增率-10.72%，年增率7.87%,中天生技(4128)自結107年6月營收1億0959萬6000元，和上個月的1億2276萬1000元相較，減少金額為1316萬5000元，較上月減少10.72%，和106年同月的1億160萬3000元相較，增加金額為799萬3000元，較106年同月增加7.87%。<BR> 累計107年1-6月營收7億0037萬元，和106年同期的6億7645萬2000元相較，增加金額為2391萬8000元，較106年同期增加3.54%。,6
92133,102700,中天 107年6月營收1.10億、年增7.87%,"中天(4128)6月營收資料(單位千元) 當月本年累計營收109,596700,370去年同期101,603676,452增減7,99323,918增減百分比7.87%3.54%",6
92154,102721,營收：天揚(5345)6月營收58萬元，月增率-78.89%，年增率-92.48%,天揚(5345)自結107年6月營收58萬2000元，和上個月的275萬8000元相較，減少金額為217萬6000元，較上月減少78.89%，和106年同月的774萬元相較，減少金額為715萬8000元，較106年同月減少92.48%。<BR> 累計107年1-6月營收1308萬4000元，和106年同期的3941萬2000元相較，減少金額為2632萬8000元，較106年同期減少66.80%。,6
92157,102725,德律 107年6月營收5.38億、年增66.63%,"德律(3030)6月營收資料(單位千元) 當月本年累計營收537,7602,649,953去年同期322,7191,636,703增減215,0411,013,250增減百分比66.63%61.91% 備註:影像光學自動檢測設備出貨增加",6
92158,102726,天揚 107年6月營收58萬、年減92.48%,"天揚(5345)6月營收資料(單位千元) 當月本年累計營收58213,084去年同期7,74039,412增減-7,158-26,328增減百分比-92.48%-66.80% 備註:本公司營運轉型中,現有產品銷售減少,全力準備新產品產銷",6
92224,102798,凌泰 107年6月營收1251萬、年增167.94%,"凌泰(6198)6月營收資料(單位千元) <BR> 當月 本年累計 營收 12,518 49,063 去年同期 4,672 25,078 增減 7,846 23,985 增減百分比 167.94% 95.64% 備註:因客戶急單需求，致使本期營收較去年同期增加。",6
92225,102799,昇陽光電 107年6月營收4.58億、年減31.80%,"昇陽光電(3561)6月營收資料(單位千元) <BR> 當月 本年累計 營收 458,146 2,429,284 去年同期 671,726 3,098,089 增減 -213,580 -668,805 增減百分比 -31.80% -21.59%",6
92226,102800,上緯投控 107年6月營收5.47億、年增13.30%,"上緯投控(3708)6月營收資料(單位千元) <BR> 當月 本年累計 營收 547,468 2,875,798 去年同期 483,182 2,134,581 增減 64,286 741,217 增減百分比 13.30% 34.72%",6
92240,102823,營收：昇陽光電(3561)6月營收4億5814萬元，月增率53.26%，年增率-31.80%,昇陽光電(3561)自結107年6月營收4億5814萬6000元，和上個月的2億9892萬7000元相較，增加金額為1億5921萬9000元，較上月增加53.26%，和106年同月的6億7172萬6000元相較，減少金額為2億1358萬元，較106年同月減少31.80%。<BR> 累計107年1-6月營收24億2928萬4000元，和106年同期的30億9808萬9000元相較，減少金額為6億6880萬5000元，較106年同期減少21.59%。,6
92241,102824,營收：上緯投控(3708)6月營收5億4746萬元，月增率-18.31%，年增率13.30%,上緯投控(3708)自結107年6月營收5億4746萬8000元，和上個月的6億7024萬1000元相較，減少金額為1億2277萬3000元，較上月減少18.31%，和106年同月的4億8318萬2000元相較，增加金額為6428萬6000元，較106年同月增加13.30%。<BR> 累計107年1-6月營收28億7579萬8000元，和106年同期的21億3458萬1000元相較，增加金額為7億4121萬7000元，較106年同期增加34.72%。,6
92242,102825,營收：德律(3030)6月營收5億3776萬元，月增率-23.24%，年增率66.63%,德律科技(3030)自結107年6月營收5億3776萬元，和上個月的7億60萬5000元相較，減少金額為1億6284萬5000元，較上月減少23.24%，和106年同月的3億2271萬9000元相較，增加金額為2億1504萬1000元，較106年同月增加66.63%。<BR> 累計107年1-6月營收26億4995萬3000元，和106年同期的16億3670萬3000元相較，增加金額為10億1325萬元，較106年同期增加61.91%。,6
92752,103369,營收：祥業(3465)6月營收52萬元，月增率-71.16%，年增率-90.63%,祥業科技(3465)自結107年6月營收52萬2000元，和上個月的181萬元相較，減少金額為128萬8000元，較上月減少71.16%，和106年同月的557萬2000元相較，減少金額為505萬元，較106年同月減少90.63%。<BR> 累計107年1-6月營收1037萬1000元，和106年同期的3854萬1000元相較，減少金額為2817萬元，較106年同期減少73.09%。,6
92755,103372,祥業 107年6月營收52萬、年減90.63%,"祥業(3465)6月營收資料(單位千元) 當月本年累計營收52210,371去年同期5,57238,541增減-5,050-28,170增減百分比-90.63%-73.09% 備註:外銷客戶因當地市場因素現有產品規格較不符合客戶需求，積極研發新產品符合市場需要。",6
92997,103617,宏捷科 107年6月營收1.99億、年增27.42%,"宏捷科(8086)6月營收資料(單位千元) 當月本年累計營收198,5951,060,745去年同期155,860917,340增減42,735143,405增減百分比27.42%15.63%",6
92999,103619,營收：南亞科(2408)6月營收85億8553萬元創新高，月增率3.11%，年增率104.74%,南亞科(2408)自結107年6月營收85億8553萬8000元，和上個月的83億2604萬5000元相較，增加金額為2億5949萬3000元，較上月增加3.11%，和106年同月的41億9333萬3000元相較，增加金額為43億9220萬5000元，較106年同月增加104.74%。<BR> 累計107年1-6月營收433億8965萬6000元，和106年同期的248億5607萬6000元相較，增加金額為185億3358萬元，較106年同期增加74.56%。,6
93014,103634,營收：宏捷科(8086)6月營收1億9859萬元，月增率1.12%，年增率27.42%,宏捷科技(8086)自結107年6月營收1億9859萬5000元，和上個月的1億9637萬7000元相較，增加金額為221萬8000元，較上月增加1.12%，和106年同月的1億5586萬元相較，增加金額為4273萬5000元，較106年同月增加27.42%。<BR> 累計107年1-6月營收10億6074萬5000元，和106年同期的9億1734萬元相較，增加金額為1億4340萬5000元，較106年同期增加15.63%。,6
93020,103640,南亞科 107年6月營收85.86億、年增104.74%,"南亞科(2408)6月營收資料(單位千元) 當月本年累計營收8,585,53843,389,656去年同期4,193,33324,856,076增減4,392,20518,533,580增減百分比104.74%74.56% 備註:107年06月價格及量較106年06月增加",6
93026,103646,營收：亞泰(4974)6月營收4億645萬元，月增率21.78%，年增率18.74%,亞泰(4974)自結107年6月營收4億645萬2000元，和上個月的3億3374萬3000元相較，增加金額為7270萬9000元，較上月增加21.78%，和106年同月的3億4229萬9000元相較，增加金額為6415萬3000元，較106年同月增加18.74%。<BR> 累計107年1-6月營收19億2456萬5000元，和106年同期的17億5865萬2000元相較，增加金額為1億6591萬3000元，較106年同期增加9.43%。,6
93035,103655,營收：牧德(3563)6月營收2億7373萬元創新高，月增率8.44%，年增率144.18%,牧德(3563)自結107年6月營收2億7373萬1000元，和上個月的2億5240萬8000元相較，增加金額為2132萬3000元，較上月增加8.44%，和106年同月的1億1210萬2000元相較，增加金額為1億6162萬9000元，較106年同月增加144.18%。<BR> 累計107年1-6月營收13億0222萬6000元，和106年同期的5億2832萬5000元相較，增加金額為7億7390萬1000元，較106年同期增加146.48%。,6
93037,103657,牧德 107年6月營收2.74億、年增144.18%,"牧德(3563)6月營收資料(單位千元) 當月本年累計營收273,7311,302,226去年同期112,102528,325增減161,629773,901增減百分比144.18%146.48% 備註:本月營收增減百分比較去年同期增加達50％以上係因軟板及AOI4.0產品需求增加所致",6
93053,103673,亞泰 107年6月營收4.06億、年增18.74%,"亞泰(4974)6月營收資料(單位千元) 當月本年累計營收406,4521,924,565去年同期342,2991,758,652增減64,153165,913增減百分比18.74%9.43%",6
93078,103698,東科-KY 107年6月營收6.54億、年增16.41%,"東科-KY(5225)6月營收資料(單位千元) 當月本年累計營收654,2883,958,149去年同期562,0723,224,556增減92,216733,593增減百分比16.41%22.75%",6
93080,103700,營收：東科-KY(5225)6月營收6億5428萬元，月增率-12.18%，年增率16.41%,東科-KY(5225)6月營收6億5428萬元，較上月減少12.18%，較106年同月增加16.41%；累計1-6月營收39億5814萬元，較106年同期增加22.75%。,6
93158,103778,營收：精測(6510)6月營收2億6449萬元，月增率-15.99%，年增率-6.97%,精測(6510)自結107年6月營收2億6449萬4000元，和上個月的3億1486萬1000元相較，減少金額為5036萬7000元，較上月減少15.99%，和106年同月的2億8429萬7000元相較，減少金額為1980萬3000元，較106年同月減少6.97%。<BR> 累計107年1-6月營收16億3016萬7000元，和106年同期的16億2916萬9000元相較，增加金額為99萬8000元，較106年同期增加0.06%。,6
93212,103832,營收：達方(8163)6月營收17億7172萬元，月增率0.65%，年增率5.96%,達方電子(8163)自結107年6月營收17億7172萬5000元，和上個月的17億6012萬9000元相較，增加金額為1159萬6000元，較上月增加0.65%，和106年同月的16億7206萬3000元相較，增加金額為9966萬2000元，較106年同月增加5.96%。<BR> 累計107年1-6月營收91億6284萬4000元，和106年同期的83億2463萬7000元相較，增加金額為8億3820萬7000元，較106年同期增加10.07%。,6
93227,103847,達方 107年6月營收17.72億、年增5.96%,"達方(8163)6月營收資料(單位千元) 當月本年累計營收1,771,7259,162,844去年同期1,672,0638,324,637增減99,662838,207增減百分比5.96%10.07%",6
93246,103867,營收：華興(6164)6月營收9921萬元，月增率-7.28%，年增率-10.33%,華興電子(6164)自結107年6月營收9921萬9000元，和上個月的1億701萬5000元相較，減少金額為779萬6000元，較上月減少7.28%，和106年同月的1億1065萬2000元相較，減少金額為1143萬3000元，較106年同月減少10.33%。<BR> 累計107年1-6月營收6億0738萬1000元，和106年同期的6億7427萬1000元相較，減少金額為6689萬元，較106年同期減少9.92%。,6
93267,103888,華興 107年6月營收9921萬、年減10.33%,"華興(6164)6月營收資料(單位千元) 當月本年累計營收99,219607,381去年同期110,652674,271增減-11,433-66,890增減百分比-10.33%-9.92%",6
93297,103918,營收：矽格(6257)6月營收8億8795萬元續創新高，月增率0.49%，年增率72.99%,矽格(6257)自結107年6月營收8億8795萬7000元續創新高，和上個月的8億8356萬5000元相較，增加金額為439萬2000元，較上月增加0.49%，和106年同月的5億1328萬6000元相較，增加金額為3億7467萬1000元，較106年同月增加72.99%。<BR> 累計107年1-6月營收48億0084萬9000元，和106年同期的29億2179萬5000元相較，增加金額為18億7905萬4000元，較106年同期增加64.31%。,6
93301,103922,矽格 107年6月營收8.88億、年增72.99%,"矽格(6257)6月營收資料(單位千元) 當月本年累計營收887,9574,800,849去年同期513,2862,921,795增減374,6711,879,054增減百分比72.99%64.31% 備註:本月較去年同期成長72.99%係合併台星科所致",6
93405,104033,合一 107年6月營收136萬，累計營收1005萬,"合一(4743)6月營收資料(單位千元) <BR> 當月 本年累計 營收 1,367 10,051 去年同期 0 1,018 增減 1,367 9,033 增減百分比 --% 887.33% 備註:本期子公司棉花田有機農場銷售農產品",6
93406,104034,中砂 107年6月營收3.86億、年增3.71%,"中砂(1560)6月營收資料(單位千元) <BR> 當月 本年累計 營收 385,756 2,423,687 去年同期 371,939 2,207,733 增減 13,817 215,954 增減百分比 3.71% 9.78%",6
93407,104035,新鉅科 107年6月營收1.49億、年增127.09%,"新鉅科(3630)6月營收資料(單位千元) <BR> 當月 本年累計 營收 148,842 505,735 去年同期 65,544 增減 83,298 增減百分比 127.09% 備註:本期營收增加金額達50%以上，係因去年同期基期較低造成。",6
93408,104036,錩新 107年6月營收1.87億、年增3.27%,"錩新(2415)6月營收資料(單位千元) <BR> 當月 本年累計 營收 187,014 1,066,507 去年同期 181,099 1,080,815 增減 5,915 -14,308 增減百分比 3.27% -1.32%",6
93409,104037,亞德客-KY 107年6月營收14.89億、年增12.41%,"亞德客-KY(1590)6月營收資料(單位千元) <BR> 當月 本年累計 營收 1,488,621 8,171,323 去年同期 1,324,330 6,409,430 增減 164,291 1,761,893 增減百分比 12.41% 27.49% 備註:本月營業收入換算匯率為 4.6494125 ; 本年累計營業收入換算匯率為 4.6433644 。",6
93419,104056,營收：西勝(3625)6月營收2億6226萬元續創新高，月增率5.62%，年增率72.46%,西勝(3625)自結107年6月營收2億6226萬9000元，和上個月的2億4830萬8000元相較，增加金額為1396萬1000元，較上月增加5.62%，和106年同月的1億5207萬3000元相較，增加金額為1億1019萬6000元，較106年同月增加72.46%，再寫單月新高紀錄。<BR> 累計107年1-6月營收12億5026萬4000元，和106年同期的6億5639萬5000元相較，增加金額為5億9386萬9000元，較106年同期增加90.47%。,6
93420,104057,營收：同亨(5490)6月營收1億4019萬元，月增率-8.93%，年增率-7.37%,同亨(5490)自結107年6月營收1億4019萬4000元，和上個月的1億5395萬1000元相較，減少金額為1375萬7000元，較上月減少8.93%，和106年同月的1億5135萬6000元相較，減少金額為1116萬2000元，較106年同月減少7.37%。<BR> 累計107年1-6月營收6億9757萬8000元，和106年同期的9億6491萬9000元相較，減少金額為2億6734萬1000元，較106年同期減少27.71%。,6
93421,104058,營收：錩新(2415)6月營收1億8701萬元，月增率9.61%，年增率3.27%,錩新(2415)自結107年6月營收1億8701萬4000元，和上個月的1億7061萬3000元相較，增加金額為1640萬1000元，較上月增加9.61%，和106年同月的1億8109萬9000元相較，增加金額為591萬5000元，較106年同月增加3.27%。<BR> 累計107年1-6月營收10億6650萬7000元，和106年同期的10億8081萬5000元相較，減少金額為1430萬8000元，較106年同期減少1.32%。,6
93422,104059,營收：中砂(1560)6月營收3億8575萬元，月增率-5.17%，年增率3.71%,中砂(1560)自結107年6月營收3億8575萬6000元，和上個月的4億681萬元相較，減少金額為2105萬4000元，較上月減少5.17%，和106年同月的3億7193萬9000元相較，增加金額為1381萬7000元，較106年同月增加3.71%。<BR> 累計107年1-6月營收24億2368萬7000元，和106年同期的22億773萬3000元相較，增加金額為2億1595萬4000元，較106年同期增加9.78%。,6
93424,104061,營收：新鉅科(3630)6月營收1億4884萬元，月增率42.38%，年增率127.09%,新鉅科(3630)自結107年6月營收1億4884萬2000元，和上個月的1億453萬3000元相較，增加金額為4430萬9000元，較上月增加42.38%，和106年同月的6554萬4000元相較，增加金額為8329萬8000元，較106年同月增加127.09%。<BR> 累計107年1-6月營收5億0573萬5000元，和106年同期的4億6898萬2000元相較，增加金額為3675萬3000元，較106年同期增加7.84%。,6
93428,104066,營收：亞德客-KY(1590)6月營收14億8862萬元，月增率-7.3%，年增率12.4%,亞德客-KY(1590)自結107年6月營收14億8862萬元，和上個月的16億506萬元相較，衰退7.3%，和106年同月的13億2433萬元相較，成長12.4%。<BR> 累計107年1-6月營收81億7132萬元，和106年同期的64億943萬元相較，成長27.4%。,6
93695,104362,營收：森鉅(8942)6月營收4億5311萬元，月增率0.40%，年增率22.94%,森鉅(8942)自結107年6月營收4億5311萬6000元，和上個月的4億5129萬7000元相較，增加金額為181萬9000元，較上月增加0.40%，和106年同月的3億6855萬2000元相較，增加金額為8456萬4000元，較106年同月增加22.94%。<BR> 累計107年1-6月營收24億9392萬6000元，和106年同期的22億6837萬9000元相較，增加金額為2億2554萬7000元，較106年同期增加9.94%。,6
93905,104578,營收：合邦(6103)6月營收1億8360萬元，月增率23.07%，年增率-0.82%,合邦(6103)自結107年6月營收1億8360萬5000元，和上個月的1億4918萬2000元相較，增加金額為3442萬3000元，較上月增加23.07%，和106年同月的1億8513萬2000元相較，減少金額為152萬7000元，較106年同月減少0.82%。<BR> 累計107年1-6月營收9億5067萬2000元，和106年同期的8億9419萬4000元相較，增加金額為5647萬8000元，較106年同期增加6.32%。,6
93911,104584,合邦 107年6月營收1.84億、年減0.82%,"合邦(6103)6月營收資料(單位千元) 當月本年累計營收183,605950,672去年同期185,132894,194增減-1,52756,478增減百分比-0.82%6.32%",6
93931,104605,華建 107年6月營收567萬、年增616.92%,"華建(2530)6月營收資料(單位千元) 當月本年累計營收5,678537,828去年同期79260,664增減4,886477,164增減百分比616.92%786.57% 備註:本年度出售房地收入較去年度增加478,653仟元,本年度租金收入較去年度同期減少1,489仟元.",6
93937,104611,營收：華建(2530)6月營收567萬元，月增率-97.95%，年增率616.92%,華建(2530)自結107年6月營收567萬8000元，和上個月的2億7742萬元相較，減少金額為2億7174萬2000元，較上月減少97.95%，和106年同月的79萬2000元相較，增加金額為488萬6000元，較106年同月增加616.92%。<BR> 累計107年1-6月營收5億3782萬8000元，和106年同期的6066萬4000元相較，增加金額為4億7716萬4000元，較106年同期增加786.57%。,6
93944,104618,清惠 107年6月營收927萬、年減35.50%,"清惠(5259)6月營收資料(單位千元) 當月本年累計營收9,270100,188去年同期14,371107,170增減-5,101-6,982增減百分比-35.50%-6.51%",6
94033,104707,營收：友通資訊(2397)6月營收5億1707萬元，月增率-5.11%，年增率37.67%,友通資訊(2397)自結107年6月營收5億1707萬1000元，和上個月的5億4495萬8000元相較，減少金額為2788萬7000元，較上月減少5.11%，和106年同月的3億7558萬6000元相較，增加金額為1億4148萬5000元，較106年同月增加37.67%。<BR> 累計107年1-6月營收25億8629萬5000元，和106年同期的19億1431萬7000元相較，增加金額為6億7197萬8000元，較106年同期增加35.10%。,6
94047,104721,友通 107年6月營收5.17億、年增37.67%,"友通(2397)6月營收資料(單位千元) 當月本年累計營收517,0712,586,295去年同期375,5861,914,317增減141,485671,978增減百分比37.67%35.10%",6
94055,104729,營收：聚陽(1477)6月營收19億7729萬元，月增率34.49%，年增率2.95%,聚陽(1477)自結107年6月營收19億7729萬2000元，和上個月的14億7016萬4000元相較，增加金額為5億712萬8000元，較上月增加34.49%，和106年同月的19億2067萬1000元相較，增加金額為5662萬1000元，較106年同月增加2.95%。<BR> 累計107年1-6月營收101億9632萬8000元，和106年同期的102億1819萬3000元相較，減少金額為2186萬5000元，較106年同期減少0.21%。,6
94066,104740,聚陽 107年6月營收19.77億、年增2.95%,"聚陽(1477)6月營收資料(單位千元) 當月本年累計營收1,977,29210,196,328去年同期1,920,67110,218,193增減56,621-21,865增減百分比2.95%-0.21%",6
94071,104745,營收：台耀(4746)6月營收2億6313萬元，月增率14.53%，年增率21.68%,台耀(4746)自結107年6月營收2億6313萬3000元，和上個月的2億2974萬8000元相較，增加金額為3338萬5000元，較上月增加14.53%，和106年同月的2億1625萬7000元相較，增加金額為4687萬6000元，較106年同月增加21.68%。<BR> 累計107年1-6月營收13億558萬元，和106年同期的12億4465萬8000元相較，增加金額為6092萬2000元，較106年同期增加4.89%。,6
94073,104747,台耀 107年6月營收2.63億、年增21.68%,"台耀(4746)6月營收資料(單位千元) 當月本年累計營收263,1331,305,580去年同期216,2571,244,658增減46,87660,922增減百分比21.68%4.89%",6
