單詞,TF,DF
台灣,81847,27118
表示,45291,23186
今天,25456,16042
政府,20991,9512
總統,19669,6117
市場,19552,7964
台北,19350,10987
公司,18917,7608
今年,18088,9459
國際,17015,8098
指出,16959,11947
大陸,16770,5889
多雲,15332,884
經濟,14603,6448
產業,14179,5230
中國,14129,6422
發展,13829,7241
美國,13666,5369
未來,12964,8141
目前,12914,8734
投資,12126,4435
民眾,11769,6071
北市,11431,5037
希望,11380,7291
國家,11372,6347
沒有,11346,6795
日本,11264,4190
可以,11048,6841
合作,10913,5684
服務,10854,4684
兩岸,10573,3045
企業,10438,4234
億元,10294,4424
全球,10163,5150
去年,9948,5642
影響,9770,6007
成長,9719,4374
銀行,9634,2704
時間,9623,6606
包括,9608,7386
問題,9321,5481
相關,9267,6259
認為,9250,6165
可能,9231,5991
董事,9048,4515
英文,9004,3815
短暫,8977,1040
中華,8669,4035
活動,8548,4483
一個,8546,5473
在台,8485,6142
產品,8478,3669
提供,8419,5352
進行,8362,5970
代表,8303,4782
持續,8289,5691
社會,8271,4311
政策,8251,4355
大學,8250,3414
金融,8221,2911
國民,8156,3181
透過,8065,5673
第一,7955,5644
地區,7817,3831
關係,7816,3759
陣雨,7789,767
委員,7784,4199
事長,7784,4782
行政,7734,4117
科技,7728,3594
民黨,7709,2632
業者,7651,3623
以及,7588,5787
成為,7376,5418
消費,7336,3327
中心,7326,4138
就是,7100,4998
文化,6970,2946
因此,6933,5353
美元,6917,2642
萬元,6772,3047
因為,6715,4935
推動,6616,4126
研究,6606,3467
國內,6590,4106
工作,6585,3788
法院,6499,3399
自己,6470,3987
重要,6407,4688
對於,6405,4828
教育,6386,2560
國大,6382,3777
計畫,6337,3477
我們,6334,2873
基金,6279,2664
技術,6269,2995
推出,6237,3563
世界,6236,3840
媒體,6214,3814
學生,6182,2224
民國,6159,3236
集團,6062,2794
現在,6037,4362
其中,6026,4929
過去,6009,4447
立法,5953,3232
上午,5910,4548
使用,5900,3410
交易,5866,2648
安全,5862,3179
下午,5851,4128
參與,5789,3574
立委,5703,2875
開始,5699,4244
其他,5679,4389
人民,5648,2889
增加,5622,3750
是否,5608,3978
針對,5596,4384
智慧,5593,2166
設計,5588,2565
超過,5577,4134
管理,5573,3123
機會,5535,4062
主要,5494,4267
部分,5450,4044
強調,5422,4348
不是,5421,3777
不過,5404,4439
品牌,5371,2254
高雄,5364,2873
共同,5331,3816
雷雨,5321,458
同時,5318,4398
舉辦,5313,3905
電子,5306,2471
最大,5302,3650
協助,5299,3557
已經,5246,3932
中央,5246,3724
除了,5155,4282
觀光,5106,1817
支持,5055,3229
創新,4984,2645
外交,4957,2019
調查,4952,2412
提出,4915,3415
不會,4900,3561
也是,4838,4081
需求,4816,3265
系統,4792,2527
發生,4787,3274
要求,4780,3224
記者,4771,3605
如果,4749,3356
航空,4735,1379
經理,4731,3432
行動,4707,2431
環境,4699,3095
